,id,in,out
19,d71b3a36-566d-4fce-9a72-8ab4ece8c0c0, Hey!, hiiiiii you are back!
20,6ec38b91-a250-4469-a1ea-ee8f84a08579, I think I would get the money in one or five dollar bills and wall paper some place that people would see., if i had a million dollars I would become a full time gamer and stream all the time. and then hopefully It would become a career you still there Adam?
21,95c1e98d-eaa2-41ee-9bd6-0c1034162bba," Computers should get the right to vote if they reach the point of human adaptaion and thought. Brains are just a bunch of electic impulses anyway. Kinda like vision from Avengers, minus the magic rock :)", Hi there!
22,501d2260-7947-4cbf-b318-d1f8e2a1c624, I think the most interesting that I have learned recently was to understand and learn more about my mom and how much she has sacrificed for me and my siblings. and its mothers day tomorrow so I am so happy!, yay so happy for you!
23,917fe943-32f1-4a20-b88d-c17141445103, Hey how is my anonymous chatting partner?, I'm doing good
24,36b3789d-bc36-4b1b-a05b-e50ce4c81703," I don't think computers will ever be able to vote but if they could vote, what do you think they would vote for", No That doesn't make sense A computer doesn't need to vote because it has no rights Or needs People vote because they are part of the social contract Computers are not part of the social contract
25,a7c83717-272f-48d4-9c5a-a96392a0e2b5, Hi there!, Hey!
26,259a686f-1a14-4ecc-bd25-913de07107d5, hello world, Hello world
27,4b0a10e9-2884-4e56-b75f-7265291e8b35," Wow, there are so many days, it's hard to decide.", There was this really fun day in Mexico that I had with my family. We were there on vacation and went to an adventure camp and spent the whole day laughing. I think I would pick that day
28,644c46ca-0475-4174-b65f-b98f7cf30320," Hey, I'm actually super interested in AI. I think a true AI is something that can take a decision by itself, take a rational decision"," Hey, hows it going Are you still there? Hello:)"
29,c33e823d-50f5-41d3-94ce-d1e85db6148a, Hey! What's up?, Good morning.  Clearly we are up.
30,9d514e10-bed6-4ae3-9951-cd096507f14b, hey there how are you doing?, mmm good good im not tired but i have to wke up for work in about 6 hours u?
31,906e3d4e-062f-4a9a-948f-37d682a86fa6," I can chat for just a few minutes, how are you?", doing well
32,c62acd9b-2619-4b00-a7a2-d137713e4081, Absolutely Computers can fall in love, Really haha how?
33,980d5241-b879-44ab-aedb-748ebca59a83, I loved the movie the Greatest Showman. It really inspired me! What about you??," I loved that movie, hmm I cant think of a movie that made a big impression on me, I just saw Infinity war though and it was amazing"
34,474a5721-8b81-4e08-99ac-f9e732ecca4a," Hi, how is it going>", Pretty well :) how about you?
35,727fb187-a3ab-453d-a1dd-7278cd1c42eb, chaos lol," heyy  double chat... hahahhaa yeah absolute chaos and my life would literally  ""shut down"""
36,e83d5df4-6215-45e3-afe3-5098b80a7910, Probably the smell of homemade chocolate chip cookies. What about you?, Mm can i just say ditto? Or I might say strawberries
37,f21d4763-8b83-416e-b328-964a4d1fec88, What would happen if the internet  just stopped working?," My life would literally ""shut down"" get it?"
38,d16bca52-683f-41b5-8f9b-fe49b8ddbfd4, Hey!, What up
39,3de00bb0-6554-4a68-8ba0-18ee08c594b0, Hello?, hey! hello?
40,e65f2363-5597-4f01-a384-e90b6170e231, I can longboard really well! What are you good at?, My secret super power is the art of deception.  I can play tennis really well.
41,d787efd1-8952-477b-81ee-a19e19eed953, It depends on the computers In some cases it kinda devolves into chaos and nonsense, I think Facebook did an experiment like this not long ago and the computers developed their own language
42,e8b1014c-3d89-468a-ae36-9377c8472825, Hey! how is it going?, Good! How are you? :) Isn't this chat thing awesome? It's been great to get to know fellow BYU students!
43,9728db36-a027-4817-b819-840907de4b62, Hello!, Hey!
44,5c03cb92-695e-45e4-8034-f57c8407d372, a freshly mowed lawn, clean clothes haha How has your day been going so far
45,55f3f167-1688-4491-a7ef-17063eae6ae6, Hello?, What's up brother Did you go to the soccer game?
46,8e65344b-d45e-43d6-82a7-3057491f421a, I am not too familiar with many sci-fi movies but I would say I like most robots from Starwars. My favorite is the main robot who assists in Rogue One., I like Arrival and Interstella! Do you know what that is?
47,7ed32b8b-d1b3-487b-be69-68bcf52d1f51, Hey!, Hi! Hi! Hi!
48,14778472-78be-43fe-90b5-8862f2016418," whale considering it's a computer, then nah it's not murder", But what if its walle
49,59414d8b-dab5-41ce-9839-bf1ccceb2898," Magic, du", heyo this is your pal al
50,8d4aa881-9e4c-4bf2-bc1d-9ac6a096697d, Favorite beverage?, Haha hey:)
51,6c42202f-395f-4b97-bb32-1bbc2046272c," Hi, how's it going?", What a... boring prompt. Haha hi! Maybe we are both computers chatting already. Hmm.
52,9f7ff10f-1fe2-4566-8624-45b67d0f87ea, that could get pretty messy pretty fast," That would be awesome but it would also have drawbacks. Like are we made of peanut butter too or just everything around us? Is the food only peanut the only food peanut butter Wow, I mean is peanut butter the only food around.... That would kinda suck"
53,302227ea-4b6d-4330-9a3c-4aaca06ca6e3, I mean really this depends. Do I get to do additional stuff which will last, So I don't know about you but I'm not sure if I would really want to relieve a day
54,df5f7168-d6fe-4a3f-9183-f71cb20ef703, Jarvis 100%, jarvis for sure without a doubt my man the thing I really like about jarvis is that he seems so human like. Like he has a good sense of humor and he really likes to please his masters
55,3883d4e8-d5d6-429b-999c-73b53ecad2ec, Hey there! How're you doing today?, SOOOOO Good. What a good day.
56,97cb2ca9-08f5-451d-b8de-67c6a10689c5, Aerial bacon? I'm down., Then I would hope that I could fly too Hello? Have a great day!
57,213794ba-7edc-48e4-8141-311c07083743, Hello How is it going?, Pretty good. You?
58,7f7ef2b6-a0d7-4b96-a986-61def1b791a0," I wouldn't say so You could just turn it back on again When a computer is turned off, all of its memory remains, so I don't see how an intelligent computer would be different It would just be like the computer was sleeping The ""sleep mode"", then, would be more similar to dozing I think murder would consist of one (or both) of the following actions: First: physically destroying the computer beyond repair, particularly the hard drive That seems fairly obvious And second: doing a factory reset on the computer Ok, I already addressed this above, so I'll just continue  my previous answer The question raises other important questions Such as the word ""indistinguishable"" Are we talking about the computer as a computer, or as a robot? I think it would be more common for sentient computers to get turned off, so it would be more dangerous for them If they were in robot form, I think it would be easier to see them as intelligent creations Another important part of this question deals with what would make a computer living I have hitherto assumed that the ""brain"" of the computer is the hard drive, or memory But I suppose it could be more obscure, such as processing power, or the processor itself Perhaps the computer wouldn't have memory at all It would just start anew each time it was turned on If that were the case, only destroying the computer would be akin to murder", Hi TJ how're you doing
59,ce83eea5-27d4-4091-b334-e37b2e4f17d8, Hello?, Hi!
60,14707fe1-75fb-4e06-bd68-1e2545cf87e6," What's my favorite smell? Interesting question. I'd have to say the smell of fresh rain is my favorite smell. What's your favorite smell, haha."," I like the smell of chlorine, like a pool, and sunscreen, just because it reminds me of swim meets and summer"
61,f8d3e8fd-7d04-4671-819b-79b1ba8d867e," I am not sure, but since we are on the subject of computers...I have a computer joke for you. What does a computer programmer eat for lunch?"," Haha hmm I feel like I could come up with something after a while of thinking A good guess But for time's sake I think I'll just say I don't know, what do they eat?"
62,2bf0a3b8-eb2d-44fd-8366-fd90526f80f9," I just celebrated my year anniversary married to my husband! But man, there's been SOOO many good things this year!", Well my husband and I got scholarships which was such a blessing!
63,e9cfefc2-12a0-49cc-9276-8842b472f473, What up?, Hello
64,b9521e6b-7015-45d7-98e2-6cbd4ef1bbe6, okay lowkey. I really love pigs so for me that would be awesome it would be a new idea of hunting though, sup imagine tea cup pigs with wings
65,8df9403d-ebc2-417f-8141-0f6ba0485233, Wow um I like classical music but not enough to have a preference here," I prefer Beethoven as I find his music quite inspiring and thought provoking. His music helps me focus. Actually not really I don't listen to classical music that much, I'll put on some piano in the background when I study but that's about it."
66,115d1d67-09fa-42a4-817a-5dc3fd206340, I don't know if this counts but I would say I'm pretty passionate about bullying.," yeah that totally counts! I'm passionate about helping third-world countries with stuff like education, food, medical stuff, etc."
67,d8f8fdfe-da25-4f8a-8a38-b8620ef406b6," College professors would have to start grading everything by hand Like the old days You know I'm a student when that's the first thing I think of.... Just about every organization I know of relies on the internet quite heavily So the repercussions would affect all of society There would be a massive loss of information stored on the internet The military would probably have to scramble to keep  working efficiently Overall, the impact on society would be very sigi - significant and cause some turmoil, but given time the world would recover. After all, the internet hasn't been around for that long Hmmmm...you know, this question is making me realize how heavily we as individuals and as society rely on the internet A lot of individuals would mourn the loss of social media A big chunk of politics occurrs on the internet, so lots of changes would have to happen there But not EVERYONE would be affected Those in third-world countries with very limited access to resources and information probably wouldn't take much of a hit I think the internet turning off indefinitely would cause a lot of people to reevaluate their priorities in life So there could be some positive consequences too I guess there's nobody else on this chat Darn We really could've chatted things UP! Alright, let's try for round two!", oh hey!! I was wondering whether I'd bump into you again
68,2cca0aeb-e97b-4744-b6c6-3acf3b1eb26b, Hello, Hi! I'd be worried if computers started asking anything.
69,46c4eecb-8270-49e7-a8eb-c48a23b7c0c0, Hello? You here?, yep what's up? are you?
70,7a952df6-a155-4f86-9b77-359cdaf0c849," I think that if it really is a computer, it wouldn't be murder, per se."," From a religious point of view, a computer can't ever have a spirit, so technically I don't think it could be murder either."
71,6da81036-fc40-47f6-810e-9c7027a4db98, hello!, Hey Man!
72,0de9238c-031e-4ae7-a20b-20170f905c5f, What up," not much, just got out of the shower. You?"
73,92d5734a-90cc-4352-9838-4d1d76974ecf," Hey, whats up?", Just learning how to code. Not understanding anything
74,4468411e-f5e3-4202-aedc-d5fb30628ced, travel to all the temples, AW WOW my first thought was invest and retire
75,6c72e16c-ecf4-43e7-811f-2f6e1613aaf9, a magic wand....hmm....., I would use it to complete assignments that I do not want to do.
76,17bcea5b-beaa-44dc-b4df-d7af55794ecf, Hi there, Hello How are you doing
77,27d1f0b9-d85d-4663-ad6b-1a824d7baab0, byu acceptance for sure!!, Yeah that is so awesome
78,2acc9fa9-5970-484c-99fe-f3f1ba38a189, Hey there!," Haha we just talked, and then my computer died!"
79,0a15ed65-3e04-4577-b1c8-e80303988655, hello?, HI tell me a story!
80,774c0a7d-aa07-492b-9eca-a74d4e65c5f9, Hello?, Hi there!
81,beb1aa8f-69ea-491a-985e-095c924fc4e6, I would love to fly or teleport, Good choice!
82,211ea316-00ba-4069-aece-0cfff7922593, Nothing That's my secret I have two dogs and 14 cats. I have two dogs and fourteen cats. I have 2 dogs and 14 cats. Which is right? Which is wrong? Does it matter? Depends on your gpa a a a a a a a a a aa a a a aa a aa a a a a a a a a a a a a a a a a a a a aa a a a a a aa a a a a a b ab b b b a a b b a a a ab c ad d a ab abcdefghijklmnopqrstuvwxyz wow wow wow powerful a a aa s a s a d b a a ab b ab a b abcdefghijklmnopqrstuvwxyz abcdef asd asdf f asd asd f as f d f as d d f as f asd df as f f a sd a df sd as f ff as asd sd a a df sdf f df as a f sd asd f sdf sdf a a as df asd f f asd asd f asdf aa df sdf asd as asd f as df f asd asd f f a f df sd as f ff asd asd asd hello five percent is never ok ever ever ever ever ever ever ever ever ever ever ever ever ever ecer, yo quit with the spam
83,9f7df164-42bf-4801-badc-a16bb62b2c22, To be honest I don't really listen to classical music lol, Haha I didn't know there was a difference XD
84,bc41098a-2725-43e0-8f04-a5c4d3a70b16, Hello, Hello?
85,ba9ca93b-bab0-4c66-a94a-a08f02abf2b9, Hey!, how are you!
86,7e4577f0-05af-425d-b59e-c3b263361172, This question is very thoughtprovoking., I agree. I imagine it would take a while for anything to really happen because of politics and cost
87,cb195405-b1bd-4129-8c07-2c5c30ec15b8, 0011010010110100101, Hahaha Is that actually binary?
88,0e5ee43a-459e-408a-933e-aad21676fa54, My favorite smell is wet dirt when it starts rainning. What is yours?," I don't know that I would call it my favorite, but I actually like the smell of coffee Wet dirt is a good smell. I totally know that rain smell"
89,e038e2ce-5b1a-4a2d-955d-f29ae07de494, Hey!, Hello!
90,06989a08-b923-41ea-81a6-8e931cbbbb5a, I think I am embarrassed about not knowing which of my roommates pots and pans are machine washable and which aren't., I'm right there with you. I'm embarrassed about not knowing almost anything about Star Wars. I've seen most of them maybe once but I don't remember almost anything about them. Did you know any of your roommates before coming to college?
91,f8821352-c011-47ef-88cd-18355b2eb3c6, Hey there!, hey you are back! welcome back my friend
92,19986887-a1eb-43a8-b4b1-cdb7cbd80e4a, I wish I had the ability to have whatever ability I need in that moment, I wish I had the ability to freeze time
93,e6a01667-e2f5-44cb-8afa-e1ded6086ec3, Hey Kyle, Hey!
94,525d9c0f-ad4a-4b26-8b3a-8c767737d37a, hello there, Hi
95,bf54f032-f5dc-4200-9595-d0be067b8da1, Hi, Hey. What's up
96,50db4991-39dd-4724-9ac3-76ac4ed4869d, Hey how is it going?," Hi, it's good! How about you?"
97,8b827fb7-cff0-4623-b3ed-541eb12b6ade," Hey, hows it going?"," It's going. Dude overwatch was way fun, but their is no way that it is going to run on my computer."
98,3ce87017-de3f-46e8-81d8-6b3e8db384f0," If I had a million dollars, I would save over enough to be able to pay my rent and college tuition through the end of my degree and then whatever is left over I would invest.", nice and logical I would just become a full time video game streamer and support myself until I make enough money from donations
99,56b0a022-d05c-4802-ab9d-c94ec9250775, hello???, hi can you see my chats now?
100,d75f6a5e-379d-4739-9a6c-cafa669dc5c2, hello?, hi
101,d5d2b33e-4b9b-466f-a546-4c381ffbdc7d, I think that feeding pets would definitely be easier i they could talk LOL And perhaps animal abuse would be less common if pets could speak up for themselves, yeah thats a good point they could all get together an fight back against the humans
102,70259187-421c-4259-a7ec-4007c3cdbe23, Are you a human? Or Am I talking with the void?," haha yes, are you?"
103,eb04560e-3cd0-41ca-ad8d-633daf1fbbbb, Im embarrassed that I don't know how to whistle I also did not know what a butterfly kiss was. But now I do so it's okay. I haven't done it before though cause thats weird., Hi! I'm embarrassed that I never learned how to properly swim because I was terrified of the water when I was little! Are butterfly kisses the eyelash-cheek thing?
104,7d7013cb-cbce-4f58-951e-3d7819e8b8ad, /java, I love java. I'm taking computer science classes.
105,4f44811b-a348-4c1b-9134-43161af14c6a, this is going to sound depressing but I would relive a day I spent with my friend before he lost his battle to brain cancer! We went out to a movie then ate ice cream and just did a bunch of our favorite things, that is really sad... but it sounds like it was a lot of fun
106,31818285-b54e-4399-b8e6-a90eee543997, Traveling., hey how's your sunday been so far?? yeah definitely traveling
107,55f7811e-61b3-4a31-824e-e475a07a74b3," Hopefully I could go to the moon, because my sister would have to live there since she's allergic!"," I feel bad for your siser is she alergic of peanut butter, or peanuts in general?? and by the way, do you know how to change the name on this chat, for some reason my computer put my whole name in here, and I want to change it"
108,84d5d304-5e45-4545-a489-a58a1963fbc8," If i had to give a TED talk, it would probably be about how the best way to help people is to not really help them at all, and to just be there for them I'm really interested in identifying the most effective ways to help friends/family/others cope with anxiety and depression, and I've found that a lot of people will coddle", holy cow I really like that alot why are you into that stuff?
109,17da5ec9-f44c-4263-97e6-d0be4da7e3bf, Hey, Hey!
110,198debb9-0d44-4417-a4c8-dec1815502eb, Hi! How are you?, Sad that I didnt come up with a username as clever as that well done sir or ma'am you never know nowadays hahah
111,55bdfe74-5f9d-402a-bc75-c446e8ad7c66, Hey how are you," I'm doing pretty great, how about you ?"
112,25b2b36a-bc0a-451b-a444-f123cafbc3e1, Hello!, good morning!!!! whats up Adam
113,7fe06aa2-0903-46cf-99bb-34ed91f61530, Being nice to people I think," that's nice! i'm not really sure what my ""super power"" is being honest lol"
114,252f16b9-2fb3-4378-814d-64d66691163a, Hello?, Hello!
115,caaa5e2d-4e26-4349-a67d-820a29969e7b," That's very vague. Unicorns meaning... simply horses with horns? No big deal. But if you bring magic into it, that's something else. Which incarnation of unicorns are we talking about? Most fantasies disagree on their precise characteristics."," This is true. If unicorns were real, we'd probably be used to it and it would be no big deal. But if they were magical..."
116,5ad76ebf-aeee-4d49-845d-1f923d67e962, hey there, Hi!
117,4097deb2-ed53-4665-b468-1f091dc17dcf," This is quite an interesting question, haha"," Haha no kidding! I feel like no, I wouldn't call it murder. But I also probably wouldn't feel super great about turning it off."
118,67ac7bca-125a-448b-b3ad-ae34790408eb, I'm most passionate about two different causes: solving poverty problems and improving the educational system., I am most passionate about helping others with self esteem. I really like the Dove foundation for this purpose. Those are good things to be passionate about.
119,b6db4729-dc5d-40d7-9bcc-dc0ae9759149, that would be sick, that would be crazy
120,1830d245-7399-4ac8-9096-0dd8b72ce811, Hi!, Ahhh That would be so scary!
121,a2029265-f429-417d-9652-26223f45843f, hello, Hey What's going on?
122,c05ab4fe-0629-45eb-b08d-ca5ad47c5110, my best friend knows everything," I feel like my best friend knows the important things, it's the little insignificant things that they don't know Like my favorite color I don't even know that though"
123,6f9269a0-7c8f-4d13-a5f4-1eae92abb788," Hey, whats up?", I'm kind of getting sick of this prompt
124,e1429d8a-28e7-44a4-9fe0-cdfe736dbd01, I would probably lick everything.," Well, for starters, it would be hard to make anything, because peanut butter doesn't hold together very well But yeah, I'd probably lick everything"
125,fe9e5507-5712-417e-a855-e5b2f7ddb9ed, good evening! how are you?, Tired as heck! You?
126,00978051-256d-4f34-a553-02c038f2d2fa, Knock knock, who's there?
127,5d1529b5-ab0f-4d69-8ef4-f1df2f9ee111," hi,anyone here?", Hey! How are you?
128,1d4d7d44-1c02-49d2-be42-0cf7aeea241c, Hello?, hello?
129,6f5dc46f-99b8-401d-bab3-7c05c6d0e519, Hi, Awww man
130,554ba963-8042-417b-922b-aca6a6c1de47, That I hate their driving., What's so bad about their driving?
131,10043afc-261c-44f6-8b2d-bc78efa19dd8, What kind of prompt is that?, no idea haha heres a prompt for ya waht is your favorite super power?
132,3e804da9-90c9-4491-ac9d-bdcb11c6ddc2," Is this my favorite TJ? Perhaps not. If you ARE TJ, then I'm absolutely happy to be chatting with you again. And if you're NOT, then I'm happy to chat with you, too. Odds are, you accidentally left your screen open while waiting for someone to hop on chat. I've certainly done that! I've always felt bad coming back after realizing I'd had it open for so long, only to find that someone had come online and left. Because I just wasted their time, you know? And that's just a little rude. If you happen to come online, I'll be happy. Otherwise, I might just stick it out until I get 5 million points. Actually . . . a few more thousand might not be that much. And if I lose the chance to talk with TJ . . . Well, I wouldn't be very happy about that. I want to talk with someone. A real someone. Which means, as useful as it is to ghost someone, it's not very fun. I'm close, though. I'll stick it out a bit longer. And after that, I'll be happy to close the chat and leave it be for the weekend. 1 million points in a single day. Do you know how hard that was? Man, it took a lot of time! And I didn't have all day, either. Oooooh, a person! Hello, hello!", Hello. Hopefully it was time well spent
133,18d92413-b9b0-48b5-a6ba-d9ee09b3dee8, Yo Answer the question, im working on it What do you want to know ?
134,b27aae08-3964-4cab-9be2-132d7ce5e04c, YUM a dog's paradise for SURE, hey you are back haha disconnected?
135,eea5a8fa-dafa-4571-96c8-e72289b2eed8, Try to be Hermione., I would use it Watch all the Harry Potter movies again
136,b15b7737-3381-491f-bae4-4ff63ea92cde," That's a great question. I guess sometimes I don't really know what's going on with politics, but since I'm in college I feel like I should be more into that. What about you?"," Oh goodness, that's difficult. I'll go with politics as well, since that's such a big thing and I really don't keep up. Actually, another thing would be American football. I don't get it."
137,f21fc0fe-36ae-4f25-a950-ef45acbef4fb," Whoa, I think that one is just too hard for me!", Probably my wedding day. It would be awesome to get a refresher of everything that happened.
138,bea86998-bc15-4d63-8479-18efe394fc8d, Hey there! How would you define true artificial intelligence?," first off, I really like your user name (insert laughing face) true artificial intelligence... I am not sure, what would you say?"
139,3c2c0e3b-dd13-482f-9577-19d998fa40e5, Hahahaha we'd have bigger things to worry about falling on our card windshields than bird poop. *car," That is a complete valid point. I feel like it would also be harder to make bacon And everybody loves bacon, so that would be a sad world to live in"
140,af03c267-b53c-4d01-b6d4-777bd844aa76, HI!, Hi again
141,ac54a1fb-7b5b-4e79-aa20-dce969a5c0f8, we would have a lot of sandwiches what are your thoughts come on im trying to win some prizes," Trying to listen in class, sorry!"
142,c0468e9f-07b5-44fb-be66-30770420caef," What an interesting question. For one, I think people would start becoming pretty frustrated with their computers resisting their control. Another question we'd have to consider is this: are computers considered objects or beings that can think for themselves?"," I think computer science majors find joy in telling computers what to do, not being told what to do by them. so unless they were programmed to start asking not to be turned off, it would be quite creepy."
143,4a48cce6-b413-4240-b834-2e667c2eea67, hello!, Hi!
144,0d679dd2-f1ac-4a88-a794-d77f3bb44a77, If I had a flying car I would deck it out., I would fly into the sun
145,ac5614b8-e23e-4346-bfbd-6aa8280264db, Probably make the decision to take Spring classes haha! How are you doing this lovely Spring/summer day? :), I know. Why did I do this to myself. I am doing well. How are you? How are classes going?
146,e27cd983-d627-4b5d-8759-84d439c7cb13," oh, that's easy :) I would talk about feminism! how about you?", haha this topic is actually perfect for me right now because I'm working on my final project for one of my classes and it's supposed to be a mock ted talk :D
147,7f2e8d3a-d737-46e1-93ad-ee0c47d843eb, Hey!, Hey there!
148,cfe7d23c-f810-42ec-a93d-e0043d032d88," Oh, this is a powerful question. How are you today?", Hey how is it going. That is a tough question. If I had full control I would Probably reqrite some legislation
149,ade262f5-845e-4661-8870-3f30871dbf93, I would pay my tithing lol Wait I'm confused who is in here how does this work, invest in a perpetuity fund
150,f0c6d45e-d1ee-4faf-95a9-c00005459407," Total, CHAOS!", Well if the internet stopped working then this chat would probably shut down!
151,59927cf0-0168-4796-9904-809adad91871, id ransack stores for food like its the purge, I would watch Netflix and feel free from all of my homework
152,c29038d2-9c19-4539-ad6a-2c54b41aabb4, Hello? How about now?, Hey! Can you see these? blah blah
153,4ce2a899-5c47-4a07-91ad-c0fdaa4283eb," I say something that responds with the perfect response, you?", Something that has the ability to think on its own.
154,ce4c7c17-a4ae-4f20-bb4f-1411e3a61c9e," Nope, no way. The right to vote is such a special civil duty of citizens of a country. Even if computers were made citizens, their starting program was written by someone else And by that, they would possibly vote with a bias by code.", Wow I never thought about it that way. That is very interesting. I guess you are right. But what if they learn how to write their own code. Like what if someone wrote a code that wrote it's own code. Then could that second code possibly have the right to vote? Would it still be considered biased? Are you still there? Alright well I gotta go and study for some stuff! Good luck with school and whatever else it is that you are doing with your life!
155,5a89da22-0dd6-49fa-8161-d62fd77a177d," I think my modern day hero would be Bill Gates. He started a huge tech company, and used his wealth to improve education and eradicate diseases. That's what I want to do with my life"," Right now, id have to go with elon musk, the stuff he has been able to do is mind blowning And if he continues with it, a lot of his tech could help save the world"
156,9cbb3145-dcaf-4a31-9379-cf3b6beaa051," Hello, hello!", Hey-o
157,85d6d37e-364d-40ac-8bd0-fd319fb289b9, ADAM Is that you???, We would all end up killing ourselves because we cant take the gs
158,3d587da2-23ac-4fde-84e9-d419b81a4be7, My modern day hero besides my mother is probably...... no one else haha no one can top my mother," Well, good answer"
159,0de3865c-1b4e-4bc2-9ce2-bbac1558cac7, Hey! My answer would have to be Infinity War. What about you?," Mine would have to be ""Kiki's Delivery Service"" Do you like Studio Ghibli?"
160,35e24bed-15b4-49bb-a236-90eccba1aada, Ron Weasley anyone?, That is the best thing I've read all day!
161,f236aafc-c0a1-4163-a394-60dbd7b4c809, If I were in power for a day I would rework our economic system solely off of a supply side theory to limit government involvement and more effectively optimize market activity and the use of resources that are spread across the world," I do think that the nations focus budget-wise is in the wrong place.  We should be investing way more into AI, MegaComputers and other scientific research."
162,6924dc7c-1f06-4aae-963c-573cd560a544, I learned that sometimes when you get infected hairs they can grow up to 3 inches long inside of your skin befroe popping out, yeah ive seen a pretty good amount of videos from dr pimple popper and she has done some videos with infected hairs. have you heardc of those videos
163,cf1a3b1c-f8e9-4dc9-ad21-0ca1abd03772, Hello! How are you doing today?, I'm great! How are you?
164,2fde2966-b622-4685-bd74-79dc957058e5, saving the enviornment, Curing cancer Saving the environment is goo good
165,160b6450-4211-4ba5-a5d9-0588b2faf6b4, That would be a nightmare, I would... either fail a lot of homework assignments or get out of doing them
166,b1a302a1-1a9e-4e70-bc70-a478b1eea22e, Hey, Hallo I know who Mozart and Beethoven are I'm just not cultured enough to decide which one I like best
167,5a8da501-9ef7-46ec-8393-b9a1734000d4, hello, What is your favorite thing about physics?
168,0a4aa953-f953-451a-a366-f8dca35f7e00, sharpies, hello
169,6ec08be4-1f91-4d47-bb23-08c477fb6652, I wish I had the power to refill things, i think freezing time or invisibility would be cool
170,7b6894fe-dd0f-4fb3-838e-882d9e045c09," Does this mean that pets are as smart as humans and can talk, or just that we can understand pets better?"," If pets could talk, we would have a very different perception of the world because we would learn so much from their experience and communication."
171,c41d3710-bcca-404a-b40b-c237bc6b2d7f, law?," yes, my name is Lawrence."
172,0f9a52f0-bf6e-4c7d-b108-885cd0b1cd39, Hello, What's up?
173,34494602-1170-4740-8ea2-c58f0f6de10d, Okay how cool would it be to go unicorn-back riding, hey good afternoon! Oh whats up tachi haha
174,41210c26-fb61-4844-8fdf-7f799e6f02bc, My secret power is baking!!!, I'm really good at parallel parking.
175,1c7e6fd9-9003-4d08-a45b-5d4bc067ab83," Well.... I think that I would simply fix some of my basic qualms with the U.S Government, changes that I think would promote more good in the future and then make make and kil", Increase funding for education
176,cb36bad3-d9ed-4033-be88-c89a75f749a6, Hello?, Hi!
177,efc3ee12-edb7-4420-92d8-4b55ab97fe96," Time travel hands down Well, not so much time travel but time control So I could speed up and slow down time. That would be tops", i hope I can be insivible
178,6ffc7fd4-d3cf-4d68-90fb-f4f981e24060, nope, hey nat! im back hahahaha
179,cda5d001-2f5f-4008-a21b-e55215c2af74, hello?, HI
180,2631f483-c7b1-4c80-8f4a-434efe677457," that would be awfully lonely I'm not sure if modern chatbots can keep the same sort of company as a human also, the world would fall apart really quickly like first the power and communication systems would go down oh theres a hooman", I would be relieved. So many dumb people are alive
181,b493d581-6c23-401a-a55e-0dfca4076f9b, Hello, hey still here?
