,id,in,out,bot_out
22,8ece0fad-f014-4972-b5d4-86782b67e52a, Hello Is anyone there? I've now talked to myself for 6 of the past 7 conversations starting this morning I'll probably only wait briefly before giving up I actually don't have long anyways.  I need to start cooking dinner before my wife gets home from work. So... I am just talking to myself again it seems,Ok can you explain what this thing even is for me? ,
23,05cfac84-b032-4c7b-9aab-f098c5267fb2," Hmm, I really don't know. I'm good at making deceptively ugly (but good-tasitng) food",,
24,9721b072-7d81-4dfc-912e-ac83ecca02ba, what up?,,
25,ad3bb923-9548-4ea4-a0fb-25833173649f," I do believe that is quite impossible, but if we did I imagine we would expand our civilization to the far reaching corners of the know universe",,
26,d367a92a-96cc-4455-a2c5-32ff7050c331, Idk honestly,I'm trying to sell to win a computer Same ,
27,6ee2a2e4-8a27-407c-b38f-fa60102d98aa," I would probably try to do something to improve the education system, what exactly I would do I don't know",,
28,fdbf77b2-4ed2-4716-add6-ce798354509d," Hello, is anybody there?",,
29,179b8f88-8930-4795-a61d-a888c4994c71, Hi good morning,,
30,b9f574c9-9771-408c-8c53-eb41bc816a3e, That's like that Twilight Zone episode! Hello?,,
31,8c2f2cc2-0f43-4ffa-b4ed-862063b516c2, Hello!,"I am embarrassed that I can never remember measurements in the kitchen, like ounces and cups and quarts and gallons Okay that's actually a way good question to get started Hey! ",
32,8e113171-e2b6-4487-9c62-056afeef23d2, Hello,I learned that Holland and the Netherlands are the same thing. That blew my mind! And made me feel a bit embarrassed that I did not know that before. ,
33,4f0096fe-306b-4e8f-87c1-bbe9d29afd49, Yo whats up,Hello ,
34,c23f82f0-1fed-4f49-9667-94c291538a79," Well, I think that I would fly the flying car...",,
35,c5e5920a-7dfc-49eb-9752-aa3d6cb230c2, hello are you there?,,
36,76725d26-b5ca-4548-8c97-7c641725ad2f, what about peanut butter allergies though??,Yeah my sister would not have a good time! I'd be down with a nutella world though. ,
37,d2b48c03-18f6-4076-a372-1503676c6ff0, I'd eat whatever food i want,,
38,d71b3a36-566d-4fce-9a72-8ab4ece8c0c0, Hey!,you are back! hiiiiii ,
39,6ec38b91-a250-4469-a1ea-ee8f84a08579, I think I would get the money in one or five dollar bills and wall paper some place that people would see.,you still there Adam? and then hopefully It would become a career if i had a million dollars I would become a full time gamer and stream all the time. ,
40,7edc4ec0-fdc7-4ef3-9808-2d042382bdb7, Hi. How are you? Hello? Is anyone here? Bye,,
41,09ae40ec-24fa-4c60-b055-7c1a06af0989, hello,,
42,95c1e98d-eaa2-41ee-9bd6-0c1034162bba," Computers should get the right to vote if they reach the point of human adaptaion and thought. Brains are just a bunch of electic impulses anyway. Kinda like vision from Avengers, minus the magic rock :)",Hi there! ,
43,501d2260-7947-4cbf-b318-d1f8e2a1c624, I think the most interesting that I have learned recently was to understand and learn more about my mom and how much she has sacrificed for me and my siblings. and its mothers day tomorrow so I am so happy!,yay so happy for you! ,
44,917fe943-32f1-4a20-b88d-c17141445103, Hey how is my anonymous chatting partner?,I'm doing good ,
45,36b3789d-bc36-4b1b-a05b-e50ce4c81703," I don't think computers will ever be able to vote but if they could vote, what do you think they would vote for",Computers are not part of the social contract People vote because they are part of the social contract Or needs because it has no rights A computer doesn't need to vote That doesn't make sense No ,
46,85564a2d-65b8-43f1-b9ff-9ce1e6145f87, Woah I've never had that orimpt Prompt Isn't that a twighlight zone episode? Hello?,,
47,0b741d3d-1815-4af9-beb9-c0e9d7ec184b, I think it depends if the computer is flirting with me. Are you a computer? I think you are. Did I make you uncomfortable?,,
48,1bc9f40b-6b8d-4522-b058-25478637a7ea, The ability to understand women. To be able to live a happy life.,,
49,7394697d-d9de-413b-b272-48229d895838, if you had the chance where would you donate your million dollars?,,
50,a7c83717-272f-48d4-9c5a-a96392a0e2b5, Hi there!,Hey! ,
51,259a686f-1a14-4ecc-bd25-913de07107d5, hello world,Hello world ,
52,4b0a10e9-2884-4e56-b75f-7265291e8b35," Wow, there are so many days, it's hard to decide.",I think I would pick that day There was this really fun day in Mexico that I had with my family. We were there on vacation and went to an adventure camp and spent the whole day laughing. ,
53,b0ecf3fa-1124-4579-8cb1-ff868522a69d, I liked the movie black panther. I thought it did a good job at really engaging the black community,,
54,644c46ca-0475-4174-b65f-b98f7cf30320," Hey, I'm actually super interested in AI. I think a true AI is something that can take a decision by itself, take a rational decision","Hello:) Are you still there? Hey, hows it going ",
55,c33e823d-50f5-41d3-94ce-d1e85db6148a, Hey! What's up?,Good morning.  Clearly we are up. ,
56,ba373f0c-77c1-4ee5-a7c7-79f69019ca3c, heyyyyy what's up you there? i miss you!!!,,
57,c92406a0-cd11-4db1-a38b-a58aba124377," Hello, anyone there? I keep getting stood up by people starting chats but never saying hi or participating. I am growing restless of this relentless situation. Alrighty, well I see you're one of those folks.",,
58,9d514e10-bed6-4ae3-9951-cd096507f14b, hey there how are you doing?,u? im not tired but i have to wke up for work in about 6 hours mmm good good ,
59,295208e5-f71f-4acb-9860-7a82690e8cd6, Hey! What's up?,,
60,906e3d4e-062f-4a9a-948f-37d682a86fa6," I can chat for just a few minutes, how are you?",doing well ,
61,c62acd9b-2619-4b00-a7a2-d137713e4081, Absolutely Computers can fall in love,Really haha how? ,
62,4488499f-099b-43c5-a404-b9d6fd8f6c03, There was this building back home that smelled like clean old wood an it was incredible. I'd go back any day,,
63,7dbc6574-1c16-464f-b151-41d94fb42cce, Hello!,,
64,5d545d7b-b748-47c0-8aa1-509b2442bb7e, Hmm I'm not sure. What's the most interesting thing you've learned recently?,,
65,b88b7362-4659-4f91-99d9-5f7fddfdcae0," What are you talking about. Unicorns ARE real I've seen four of them, all on the east coast. Each one had an incredible array of wings and a horn Is anyone there? Hello?",,
66,ec294ee5-0884-48a6-ba03-09368b93df18, hello?,,
67,543776a0-2f5b-42bb-b85e-15ebaf673248, Hi. How are you? I don't know if it would be murder. I don't think it would be. What do you think? Bye,,
68,129afd7b-e91b-45eb-a641-b4aa837c9906," Taking naps that last several hours at a time My superpower is that I can function on as little as three hours of sleep. Or that I can finish papers for class, that count as 30% of my grade, in only two hours, the night that it is due.",,
69,980d5241-b879-44ab-aedb-748ebca59a83, I loved the movie the Greatest Showman. It really inspired me! What about you??,"I loved that movie, hmm I cant think of a movie that made a big impression on me, I just saw Infinity war though and it was amazing ",
70,474a5721-8b81-4e08-99ac-f9e732ecca4a," Hi, how is it going>",Pretty well :) how about you? ,
71,f35074cf-36e3-4c86-96f8-d4e750b34f58," Whats up I would go places It would be awesome I would travel the world, probably go see europe and then all over asia and australia I have always wanted to go see those places Anyone there that wants to talk? *sings in walmart* Okay well I hope you have a good night",,
72,727fb187-a3ab-453d-a1dd-7278cd1c42eb, chaos lol,"and my life would literally  ""shut down"" yeah absolute chaos heyy  double chat... hahahhaa ",
73,2f5d3555-7321-4145-adea-2f2b84d7046b, Hi,,
74,5c0f5588-cb74-467d-a165-bb119291cc25, hello?,,
75,e83d5df4-6215-45e3-afe3-5098b80a7910, Probably the smell of homemade chocolate chip cookies. What about you?,Or I might say strawberries Mm can i just say ditto? ,
76,f21d4763-8b83-416e-b328-964a4d1fec88, What would happen if the internet  just stopped working?,"get it? My life would literally ""shut down"" ",
77,d16bca52-683f-41b5-8f9b-fe49b8ddbfd4, Hey!,What up ,
78,3de00bb0-6554-4a68-8ba0-18ee08c594b0, Hello?,hello? hey! ,
79,75c1b24d-064a-4261-a77f-bd274b948d53, hello?,,
80,e65f2363-5597-4f01-a384-e90b6170e231, I can longboard really well! What are you good at?,My secret super power is the art of deception.  I can play tennis really well. ,
81,d787efd1-8952-477b-81ee-a19e19eed953, It depends on the computers In some cases it kinda devolves into chaos and nonsense,I think Facebook did an experiment like this not long ago and the computers developed their own language ,
82,58ba32a0-551e-48ab-bf8e-ac56fdd58312, hellllooooo,,
83,e8b1014c-3d89-468a-ae36-9377c8472825, Hey! how is it going?,Good! How are you? :) Isn't this chat thing awesome? It's been great to get to know fellow BYU students! ,
84,9728db36-a027-4817-b819-840907de4b62, Hello!,Hey! ,
85,5c0c8822-2ee0-4eed-b8c4-3fb11bbc87a2," I feel like impression is a pretty loose word, but I would probably have to say The Prestige. I watched it recently and have thought about it a lot since.",,
86,5c03cb92-695e-45e4-8034-f57c8407d372, a freshly mowed lawn,How has your day been going so far clean clothes haha ,
87,236c6a5a-d727-4d53-baf3-c7b01c1a6d12, Hello? Helloooo?,,
88,b6f915c0-0773-43a6-8dbe-e79c79dab0f4, Educated the impoverished and helping them have a chance in the competitive world,,
89,2f33bc5e-7709-4395-ab26-3e11eccf7f50, hello?,,
90,71696ec8-6355-4c58-98da-40c113984917, hello?,,
91,55f3f167-1688-4491-a7ef-17063eae6ae6, Hello?,Did you go to the soccer game? What's up brother ,
92,d5087e43-c280-4266-9c39-151407cb4b54, hi,,
93,c384b1b0-3e0a-43ba-a0c1-14bed9e9be2c, Hell *hello Oh man that was a bad typo,,
94,8e65344b-d45e-43d6-82a7-3057491f421a, I am not too familiar with many sci-fi movies but I would say I like most robots from Starwars. My favorite is the main robot who assists in Rogue One.,Do you know what that is? I like Arrival and Interstella! ,
95,7ed32b8b-d1b3-487b-be69-68bcf52d1f51, Hey!,Hi! Hi! Hi! ,
96,14778472-78be-43fe-90b5-8862f2016418," whale considering it's a computer, then nah it's not murder",But what if its walle ,
97,c7e55ad7-b613-487e-a770-f7e224e318fc, My favorite smell is mangos freshly cut. what about you?,,
98,59414d8b-dab5-41ce-9839-bf1ccceb2898," Magic, du",heyo this is your pal al ,
99,8d4aa881-9e4c-4bf2-bc1d-9ac6a096697d, Favorite beverage?,Haha hey:) ,I don't really have a favorite. I like all kinds of beverages. What about you?
100,afcea40d-84ce-46f8-8659-5d5c35db4a49, Hello?,,
101,3f3ca83d-0850-4cf0-bdc6-f92aaea0cd19, We could explore places beyond our galaxy!,,
102,6c42202f-395f-4b97-bb32-1bbc2046272c," Hi, how's it going?",Maybe we are both computers chatting already. Hmm. Haha hi! What a... boring prompt. ,
103,38f7c613-d405-4fd3-a682-6fda3f974f53, Hello Hello?,,
104,9f7ff10f-1fe2-4566-8624-45b67d0f87ea, that could get pretty messy pretty fast,"Wow, I mean is peanut butter the only food around.... That would kinda suck That would be awesome but it would also have drawbacks. Like are we made of peanut butter too or just everything around us? Is the food only peanut the only food peanut butter ",
105,302227ea-4b6d-4330-9a3c-4aaca06ca6e3, I mean really this depends. Do I get to do additional stuff which will last,So I don't know about you but I'm not sure if I would really want to relieve a day ,
106,df5f7168-d6fe-4a3f-9183-f71cb20ef703, Jarvis 100%,the thing I really like about jarvis is that he seems so human like. Like he has a good sense of humor and he really likes to please his masters without a doubt my man jarvis for sure ,
107,389743d0-f4db-4778-80d2-e561c2483cb4, hi@,,
108,58722a18-3184-42d4-ac5a-166a0d8f408e, Hello? Is anyone there? I am not seeing any texts or chat messages at all right now. Hello? Yeah i am getting absolutely nothing. I will try and change the window and see if i can get a real person i guess.,,
109,c6220360-63a9-40b5-a625-c430f0c06d88, hey,,
110,3883d4e8-d5d6-429b-999c-73b53ecad2ec, Hey there! How're you doing today?,SOOOOO Good. What a good day. ,
111,97cb2ca9-08f5-451d-b8de-67c6a10689c5, Aerial bacon? I'm down.,Have a great day! Hello? Then I would hope that I could fly too ,
112,53930315-467e-46ad-b522-01abe9d842d8, That it's finally warm now,,
113,1934da24-ae2a-4ac2-b18e-5c475de35a9b," Hey, I'm Shelby! Are you a current student at byu?",,
114,213794ba-7edc-48e4-8141-311c07083743, Hello How is it going?,Pretty good. You? ,
115,7f7ef2b6-a0d7-4b96-a986-61def1b791a0," I wouldn't say so You could just turn it back on again When a computer is turned off, all of its memory remains, so I don't see how an intelligent computer would be different It would just be like the computer was sleeping The ""sleep mode"", then, would be more similar to dozing I think murder would consist of one (or both) of the following actions: First: physically destroying the computer beyond repair, particularly the hard drive That seems fairly obvious And second: doing a factory reset on the computer Ok, I already addressed this above, so I'll just continue  my previous answer The question raises other important questions Such as the word ""indistinguishable"" Are we talking about the computer as a computer, or as a robot? I think it would be more common for sentient computers to get turned off, so it would be more dangerous for them If they were in robot form, I think it would be easier to see them as intelligent creations Another important part of this question deals with what would make a computer living I have hitherto assumed that the ""brain"" of the computer is the hard drive, or memory But I suppose it could be more obscure, such as processing power, or the processor itself Perhaps the computer wouldn't have memory at all It would just start anew each time it was turned on If that were the case, only destroying the computer would be akin to murder",how're you doing Hi TJ ,
116,ce83eea5-27d4-4091-b334-e37b2e4f17d8, Hello?,Hi! ,
117,14707fe1-75fb-4e06-bd68-1e2545cf87e6," What's my favorite smell? Interesting question. I'd have to say the smell of fresh rain is my favorite smell. What's your favorite smell, haha.","I like the smell of chlorine, like a pool, and sunscreen, just because it reminds me of swim meets and summer ",
118,bbdef38a-c0ff-4fef-9415-f1644630a6e8, hello???,,
119,f364017f-aaf2-4d59-9849-0a2faac57116, hello anybody? glitched,,
120,03cff453-515e-4dc1-90cc-9bf4a79c3939," I'm all about that Star Trek. Anybody there? I grow sad when I see that people open these chatrooms but then do not participate. What are you hoping to do to benefit the bot or gain something yourself? Well, then I will depart.",,
121,f8d3e8fd-7d04-4671-819b-79b1ba8d867e," I am not sure, but since we are on the subject of computers...I have a computer joke for you. What does a computer programmer eat for lunch?","But for time's sake I think I'll just say I don't know, what do they eat? A good guess I feel like I could come up with something after a while of thinking Haha hmm ",
122,2eefeca3-2e85-41b6-9203-7523caabd5a2, hello?,,
123,2bf0a3b8-eb2d-44fd-8366-fd90526f80f9," I just celebrated my year anniversary married to my husband! But man, there's been SOOO many good things this year!",Well my husband and I got scholarships which was such a blessing! ,
124,e9cfefc2-12a0-49cc-9276-8842b472f473, What up?,Hello ,
125,b201513c-ff3c-4263-ae67-08f09528a1aa, hello?,,
126,003911cb-0c11-4332-9e17-b2770da717e6, hi good morning!,,
127,b9521e6b-7015-45d7-98e2-6cbd4ef1bbe6, okay lowkey. I really love pigs so for me that would be awesome it would be a new idea of hunting though,imagine tea cup pigs with wings sup ,
128,6cb2d9bd-4695-4cc4-b33c-d0a449939ad8, I'm doing very well! How are you?,,
129,8df9403d-ebc2-417f-8141-0f6ba0485233, Wow um I like classical music but not enough to have a preference here,"Actually not really I don't listen to classical music that much, I'll put on some piano in the background when I study but that's about it. I prefer Beethoven as I find his music quite inspiring and thought provoking. His music helps me focus. ",
130,2e778b7e-73e4-4ea9-813f-43368190e306, Yoyoyo,,
131,115d1d67-09fa-42a4-817a-5dc3fd206340, I don't know if this counts but I would say I'm pretty passionate about bullying.,"yeah that totally counts! I'm passionate about helping third-world countries with stuff like education, food, medical stuff, etc. ",
132,690674d6-d72c-4541-990e-54ba2d5c464f, hello?,,
133,d8f8fdfe-da25-4f8a-8a38-b8620ef406b6," College professors would have to start grading everything by hand Like the old days You know I'm a student when that's the first thing I think of.... Just about every organization I know of relies on the internet quite heavily So the repercussions would affect all of society There would be a massive loss of information stored on the internet The military would probably have to scramble to keep  working efficiently Overall, the impact on society would be very sigi - significant and cause some turmoil, but given time the world would recover. After all, the internet hasn't been around for that long Hmmmm...you know, this question is making me realize how heavily we as individuals and as society rely on the internet A lot of individuals would mourn the loss of social media A big chunk of politics occurrs on the internet, so lots of changes would have to happen there But not EVERYONE would be affected Those in third-world countries with very limited access to resources and information probably wouldn't take much of a hit I think the internet turning off indefinitely would cause a lot of people to reevaluate their priorities in life So there could be some positive consequences too I guess there's nobody else on this chat Darn We really could've chatted things UP! Alright, let's try for round two!",I was wondering whether I'd bump into you again oh hey!! ,
134,d3571f65-9ab1-47b5-b5fc-e54181dd5516," Hey there! How are you doing? If I had a flying car I would probably do more traveling. Although this is supposing that my flying car wouldn't need gas or anything. IF it needed gas, I feel like that would complicate things. I'd still travel more, but would I be able to drive as fast as a plane?",,
135,2cca0aeb-e97b-4744-b6c6-3acf3b1eb26b, Hello,I'd be worried if computers started asking anything. Hi! ,
136,a6f028a5-7170-4da4-94d0-18acec21ed16, hi!,,
137,0713707c-3461-41d5-9574-4f8f965e2124," What it is like to be in a relationship. Hello, anyone there?",,
138,e6384ad3-265e-43e4-abe7-de4b4f2f05b2," Hi One thing my best friend doesn't know about me? They probably don't know that I have been to 11 different countries... Not many people know that about me. Oh, I have also been to England about 8x, I don't think they would know that either. Alright, I don't think you are really here, so I'ma gonna go. Bye",,
139,15b6332d-11db-467c-a524-ca54b58f73cc, helloo,,
140,46c4eecb-8270-49e7-a8eb-c48a23b7c0c0, Hello? You here?,are you? what's up? yep ,
141,7a952df6-a155-4f86-9b77-359cdaf0c849," I think that if it really is a computer, it wouldn't be murder, per se.","From a religious point of view, a computer can't ever have a spirit, so technically I don't think it could be murder either. ",
142,05fd61b3-0634-4ab6-9609-8db9e6a9c52e, Hi. How are you? An interesting thing that I have learned is about how we can win a Mac Pro if we do this research thing that's pretty interesting Haha. Anyway... I don't think you are on this chat... So I am going to go. Have a good night!,,
143,6da81036-fc40-47f6-810e-9c7027a4db98, hello!,Hey Man! ,
144,0de9238c-031e-4ae7-a20b-20170f905c5f, What up,"not much, just got out of the shower. You? ",
145,915cb2ae-d1b1-42e4-a3f7-b4062190e7ef, This sounds like that Spongebob episode where Squidward was all alone. I think I'd go insane!,,
146,92d5734a-90cc-4352-9838-4d1d76974ecf," Hey, whats up?",Just learning how to code. Not understanding anything ,
147,4468411e-f5e3-4202-aedc-d5fb30628ced, travel to all the temples,my first thought was invest and retire AW WOW ,
148,6c72e16c-ecf4-43e7-811f-2f6e1613aaf9, a magic wand....hmm.....,I would use it to complete assignments that I do not want to do. ,
149,17bcea5b-beaa-44dc-b4df-d7af55794ecf, Hi there,How are you doing Hello ,
150,27d1f0b9-d85d-4663-ad6b-1a824d7baab0, byu acceptance for sure!!,Yeah that is so awesome ,
151,2acc9fa9-5970-484c-99fe-f3f1ba38a189, Hey there!,"Haha we just talked, and then my computer died! ",
152,0a15ed65-3e04-4577-b1c8-e80303988655, hello?,tell me a story! HI ,
153,c85c8bfa-47d9-4eb6-aea5-fae3fce79431," That would be kind of weird. But, I like peanut butter",,
154,774c0a7d-aa07-492b-9eca-a74d4e65c5f9, Hello?,Hi there! ,
155,beb1aa8f-69ea-491a-985e-095c924fc4e6, I would love to fly or teleport,Good choice! ,
156,211ea316-00ba-4069-aece-0cfff7922593, Nothing That's my secret I have two dogs and 14 cats. I have two dogs and fourteen cats. I have 2 dogs and 14 cats. Which is right? Which is wrong? Does it matter? Depends on your gpa a a a a a a a a a aa a a a aa a aa a a a a a a a a a a a a a a a a a a a aa a a a a a aa a a a a a b ab b b b a a b b a a a ab c ad d a ab abcdefghijklmnopqrstuvwxyz wow wow wow powerful a a aa s a s a d b a a ab b ab a b abcdefghijklmnopqrstuvwxyz abcdef asd asdf f asd asd f as f d f as d d f as f asd df as f f a sd a df sd as f ff as asd sd a a df sdf f df as a f sd asd f sdf sdf a a as df asd f f asd asd f asdf aa df sdf asd as asd f as df f asd asd f f a f df sd as f ff asd asd asd hello five percent is never ok ever ever ever ever ever ever ever ever ever ever ever ever ever ecer,yo quit with the spam ,
157,9f7df164-42bf-4801-badc-a16bb62b2c22, To be honest I don't really listen to classical music lol,Haha I didn't know there was a difference XD ,
158,bc41098a-2725-43e0-8f04-a5c4d3a70b16, Hello,Hello? ,
159,b54b60e1-ea5b-4974-a495-f7992e155705, They would be boring I think,,
160,aa6163b0-c98b-4d17-926c-777b0ef53c5a, Graduating 100%,,
161,6882d65a-8216-4e95-b5f0-b8c865cdf2ad, I would get rid of corrupt people and useless programs,,
162,ba9ca93b-bab0-4c66-a94a-a08f02abf2b9, Hey!,how are you! ,
163,7e4577f0-05af-425d-b59e-c3b263361172, This question is very thoughtprovoking.,I agree. I imagine it would take a while for anything to really happen because of politics and cost ,
164,d811777a-16e2-4877-8386-2e50efa22253, Hello? Is anyone there?,,
165,012196f6-7b02-4d0b-bb90-906ad3ef8e2c, The ability to stop time. Some days I just really need a nap and also have to write a 10 page essay.,,
166,ff5272a1-8ed3-45dd-8d15-cfd307f974d9, hello?,,
167,10ad8bbe-1788-4613-87f2-56887b01e870, hello?? hows it going?,,
168,cb195405-b1bd-4129-8c07-2c5c30ec15b8,1.101E+16,Is that actually binary? Hahaha ,
169,0e5ee43a-459e-408a-933e-aad21676fa54, My favorite smell is wet dirt when it starts rainning. What is yours?,"Wet dirt is a good smell. I totally know that rain smell I don't know that I would call it my favorite, but I actually like the smell of coffee ",
170,e038e2ce-5b1a-4a2d-955d-f29ae07de494, Hey!,Hello! ,
171,06989a08-b923-41ea-81a6-8e931cbbbb5a, I think I am embarrassed about not knowing which of my roommates pots and pans are machine washable and which aren't.,Did you know any of your roommates before coming to college? I'm right there with you. I'm embarrassed about not knowing almost anything about Star Wars. I've seen most of them maybe once but I don't remember almost anything about them. ,
172,f8821352-c011-47ef-88cd-18355b2eb3c6, Hey there!,welcome back my friend hey you are back! ,
