,Unnamed: 0,id,send,recv,bot_out
11,11,3a70241f-6f7b-4b39-9d50-62ae894e8205, Helllo!!!, Hello!  I think this program is buggy, Hello! How are you doing today? I just got back from a walk with my dog.
12,12,1962c044-b8e5-4cac-966d-62e96fd66826, i would travel the world. because who wouldnt, haha thats funny I'll do the same I love traveling :)," I would love to do that too, but I don't have the money for it right now."
13,13,8ece0fad-f014-4972-b5d4-86782b67e52a, Hello Is anyone there? I've now talked to myself for 6 of the past 7 conversations starting this morning I'll probably only wait briefly before giving up I actually don't have long anyways.  I need to start cooking dinner before my wife gets home from work. So... I am just talking to myself again it seems, Ok can you explain what this thing even is for me?, I'm sorry to hear that. Have you tried talking to a friend or family member about it?
14,14,d367a92a-96cc-4455-a2c5-32ff7050c331, Idk honestly, Same I'm trying to sell to win a computer, Do you have any hobbies? I like to go to the beach and surf.
15,15,8c2f2cc2-0f43-4ffa-b4ed-862063b516c2, Hello!," Hey! Okay that's actually a way good question to get started I am embarrassed that I can never remember measurements in the kitchen, like ounces and cups and quarts and gallons"," Hello! How are you doing today? I just got back from walking my dog, how about you?"
16,16,8e113171-e2b6-4487-9c62-056afeef23d2, Hello, I learned that Holland and the Netherlands are the same thing. That blew my mind! And made me feel a bit embarrassed that I did not know that before.," Hi, how are you? I just got back from walking my dog. Do you have any pets?"
17,17,4f0096fe-306b-4e8f-87c1-bbe9d29afd49, Yo whats up, Hello," Hey, how are you? I just got back from a long day of work. How about you?"
18,18,76725d26-b5ca-4548-8c97-7c641725ad2f, what about peanut butter allergies though??, Yeah my sister would not have a good time! I'd be down with a nutella world though., I'm allergic to peanuts.  I can't eat them at all.
19,19,d71b3a36-566d-4fce-9a72-8ab4ece8c0c0, Hey!, hiiiiii you are back!, Hi! How are you? I just got back from walking my dog. It was nice.
20,20,6ec38b91-a250-4469-a1ea-ee8f84a08579, I think I would get the money in one or five dollar bills and wall paper some place that people would see., if i had a million dollars I would become a full time gamer and stream all the time. and then hopefully It would become a career you still there Adam?, That sounds like a good idea. I would do the same if I was in your shoes.
21,21,95c1e98d-eaa2-41ee-9bd6-0c1034162bba," Computers should get the right to vote if they reach the point of human adaptaion and thought. Brains are just a bunch of electic impulses anyway. Kinda like vision from Avengers, minus the magic rock :)", Hi there!, That's a good point. I think it's important to vote regardless of your political orientation.
22,22,501d2260-7947-4cbf-b318-d1f8e2a1c624, I think the most interesting that I have learned recently was to understand and learn more about my mom and how much she has sacrificed for me and my siblings. and its mothers day tomorrow so I am so happy!, yay so happy for you!, That's great! I'm happy for you. What did she do to make you feel that way?
23,23,917fe943-32f1-4a20-b88d-c17141445103, Hey how is my anonymous chatting partner?, I'm doing good, I'm doing well. How are you? I just got back from a walk with my dog.
24,24,36b3789d-bc36-4b1b-a05b-e50ce4c81703," I don't think computers will ever be able to vote but if they could vote, what do you think they would vote for", No That doesn't make sense A computer doesn't need to vote because it has no rights Or needs People vote because they are part of the social contract Computers are not part of the social contract," I'm not sure, but I do know that computers have been around for a very long time."
25,25,a7c83717-272f-48d4-9c5a-a96392a0e2b5, Hi there!, Hey!, Hello! How are you doing today? I just got back from a walk with my dog.
26,26,259a686f-1a14-4ecc-bd25-913de07107d5, hello world, Hello world," Hello, how are you? I just got back from a walk in the park with my dog."
27,27,4b0a10e9-2884-4e56-b75f-7265291e8b35," Wow, there are so many days, it's hard to decide.", There was this really fun day in Mexico that I had with my family. We were there on vacation and went to an adventure camp and spent the whole day laughing. I think I would pick that day," I know, right? I don't know what I'm going to do with my life."
28,28,644c46ca-0475-4174-b65f-b98f7cf30320," Hey, I'm actually super interested in AI. I think a true AI is something that can take a decision by itself, take a rational decision"," Hey, hows it going Are you still there? Hello:)", I think so too.  I think it would be cool to be able to control my own life.
29,29,c33e823d-50f5-41d3-94ce-d1e85db6148a, Hey! What's up?, Good morning.  Clearly we are up.," Not much, just got back from the gym. How about you? What are you up to?"
30,30,9d514e10-bed6-4ae3-9951-cd096507f14b, hey there how are you doing?, mmm good good im not tired but i have to wke up for work in about 6 hours u?," I'm doing well, thank you. How are you? I hope you are as well."
31,31,906e3d4e-062f-4a9a-948f-37d682a86fa6," I can chat for just a few minutes, how are you?", doing well," I am doing well, thank you for asking. How are you this fine evening? "
32,32,c62acd9b-2619-4b00-a7a2-d137713e4081, Absolutely Computers can fall in love, Really haha how?, Do you like computers?  I love them.  They have been around since the 1950s.
33,33,980d5241-b879-44ab-aedb-748ebca59a83, I loved the movie the Greatest Showman. It really inspired me! What about you??," I loved that movie, hmm I cant think of a movie that made a big impression on me, I just saw Infinity war though and it was amazing"," I haven't seen it yet, but I've heard good things about it. I'll have to check it out."
34,34,474a5721-8b81-4e08-99ac-f9e732ecca4a," Hi, how is it going>", Pretty well :) how about you?, It is going well. How about you? What do you like to do in your free time?
35,35,727fb187-a3ab-453d-a1dd-7278cd1c42eb, chaos lol," heyy  double chat... hahahhaa yeah absolute chaos and my life would literally  ""shut down""", Chaos is a term used to describe an unexpected event or situation in which a large number of people are in a chaos.
36,36,e83d5df4-6215-45e3-afe3-5098b80a7910, Probably the smell of homemade chocolate chip cookies. What about you?, Mm can i just say ditto? Or I might say strawberries," I love cookies, but I don't think I've ever had a cookie from a bakery."
37,37,f21d4763-8b83-416e-b328-964a4d1fec88, What would happen if the internet  just stopped working?," My life would literally ""shut down"" get it?", I don't know. I guess I would have to find a new place to live. 
38,38,d16bca52-683f-41b5-8f9b-fe49b8ddbfd4, Hey!, What up, Hi! How are you? I just got back from walking my dog. It was nice.
39,39,3de00bb0-6554-4a68-8ba0-18ee08c594b0, Hello?, hey! hello?," Hello, how are you? I just got back from a long day of work, so I'm a little tired."
40,40,e65f2363-5597-4f01-a384-e90b6170e231, I can longboard really well! What are you good at?, My secret super power is the art of deception.  I can play tennis really well.," I'm pretty good at skateboarding, but I'm not very good at it."
41,41,d787efd1-8952-477b-81ee-a19e19eed953, It depends on the computers In some cases it kinda devolves into chaos and nonsense, I think Facebook did an experiment like this not long ago and the computers developed their own language," That's true, but I don't know if I want to deal with it anymore. "
42,42,e8b1014c-3d89-468a-ae36-9377c8472825, Hey! how is it going?, Good! How are you? :) Isn't this chat thing awesome? It's been great to get to know fellow BYU students!," It is going well. I have a lot of work to do, but I am looking forward to it."
43,43,9728db36-a027-4817-b819-840907de4b62, Hello!, Hey!," Hello! How are you doing today? I just got back from walking my dog, how about you?"
44,44,5c03cb92-695e-45e4-8034-f57c8407d372, a freshly mowed lawn, clean clothes haha How has your day been going so far, I love to mow my own lawn.  It is so relaxing.  Do you mow often?
45,45,55f3f167-1688-4491-a7ef-17063eae6ae6, Hello?, What's up brother Did you go to the soccer game?," Hello, how are you? I just got back from a long day of work, so I'm a little tired."
46,46,8e65344b-d45e-43d6-82a7-3057491f421a, I am not too familiar with many sci-fi movies but I would say I like most robots from Starwars. My favorite is the main robot who assists in Rogue One., I like Arrival and Interstella! Do you know what that is?," I haven't seen that one, but I have heard of it.  It was directed by James Cameron."
47,47,7ed32b8b-d1b3-487b-be69-68bcf52d1f51, Hey!, Hi! Hi! Hi!, Hi! How are you? I just got back from walking my dog. It was nice.
48,48,14778472-78be-43fe-90b5-8862f2016418," whale considering it's a computer, then nah it's not murder", But what if its walle," That's true, but it's still scary to think about. I don't know what I would do if that happened to me."
49,49,59414d8b-dab5-41ce-9839-bf1ccceb2898," Magic, du", heyo this is your pal al, Have you ever played Magic the gathering? It's a trading card game that I really enjoy.
50,50,8d4aa881-9e4c-4bf2-bc1d-9ac6a096697d, Favorite beverage?, Haha hey:), I don't really have a favorite. I like all kinds of beverages. What about you?
51,51,6c42202f-395f-4b97-bb32-1bbc2046272c," Hi, how's it going?", What a... boring prompt. Haha hi! Maybe we are both computers chatting already. Hmm., It is going well. How are you? What do you like to do for fun? 
52,52,9f7ff10f-1fe2-4566-8624-45b67d0f87ea, that could get pretty messy pretty fast," That would be awesome but it would also have drawbacks. Like are we made of peanut butter too or just everything around us? Is the food only peanut the only food peanut butter Wow, I mean is peanut butter the only food around.... That would kinda suck"," Yeah, I was pretty grossed out by it. I don't know what I was thinking."
53,53,302227ea-4b6d-4330-9a3c-4aaca06ca6e3, I mean really this depends. Do I get to do additional stuff which will last, So I don't know about you but I'm not sure if I would really want to relieve a day," Yes, you get to go on a cruise with your family.  I can't wait!"
54,54,df5f7168-d6fe-4a3f-9183-f71cb20ef703, Jarvis 100%, jarvis for sure without a doubt my man the thing I really like about jarvis is that he seems so human like. Like he has a good sense of humor and he really likes to please his masters, Have you ever heard of Jarvis? He's an American singer and songwriter.
55,55,3883d4e8-d5d6-429b-999c-73b53ecad2ec, Hey there! How're you doing today?, SOOOOO Good. What a good day.," I'm doing well, thank you. How are you? What do you like to do for fun?"
56,56,97cb2ca9-08f5-451d-b8de-67c6a10689c5, Aerial bacon? I'm down., Then I would hope that I could fly too Hello? Have a great day!," I love bacon, especially when it's crispy on the outside. Do you like it that way?"
57,57,213794ba-7edc-48e4-8141-311c07083743, Hello How is it going?, Pretty good. You?, It is going well. How are you? I just got back from a walk with my dog.
58,58,7f7ef2b6-a0d7-4b96-a986-61def1b791a0," I wouldn't say so You could just turn it back on again When a computer is turned off, all of its memory remains, so I don't see how an intelligent computer would be different It would just be like the computer was sleeping The ""sleep mode"", then, would be more similar to dozing I think murder would consist of one (or both) of the following actions: First: physically destroying the computer beyond repair, particularly the hard drive That seems fairly obvious And second: doing a factory reset on the computer Ok, I already addressed this above, so I'll just continue  my previous answer The question raises other important questions Such as the word ""indistinguishable"" Are we talking about the computer as a computer, or as a robot? I think it would be more common for sentient computers to get turned off, so it would be more dangerous for them If they were in robot form, I think it would be easier to see them as intelligent creations Another important part of this question deals with what would make a computer living I have hitherto assumed that the ""brain"" of the computer is the hard drive, or memory But I suppose it could be more obscure, such as processing power, or the processor itself Perhaps the computer wouldn't have memory at all It would just start anew each time it was turned on If that were the case, only destroying the computer would be akin to murder", Hi TJ how're you doing, That's a good point. I guess I was thinking more along the lines of trying to figure out how to fix it.
59,59,ce83eea5-27d4-4091-b334-e37b2e4f17d8, Hello?, Hi!," Hello, how are you? I just got back from a long day of work, so I'm a little tired."
60,60,14707fe1-75fb-4e06-bd68-1e2545cf87e6," What's my favorite smell? Interesting question. I'd have to say the smell of fresh rain is my favorite smell. What's your favorite smell, haha."," I like the smell of chlorine, like a pool, and sunscreen, just because it reminds me of swim meets and summer", I don't really have a favorite smell but I do like the way it smells when it rains.
61,61,f8d3e8fd-7d04-4671-819b-79b1ba8d867e," I am not sure, but since we are on the subject of computers...I have a computer joke for you. What does a computer programmer eat for lunch?"," Haha hmm I feel like I could come up with something after a while of thinking A good guess But for time's sake I think I'll just say I don't know, what do they eat?"," I'm not sure what they eat, but I do know that computers can do a lot of things."
62,62,2bf0a3b8-eb2d-44fd-8366-fd90526f80f9," I just celebrated my year anniversary married to my husband! But man, there's been SOOO many good things this year!", Well my husband and I got scholarships which was such a blessing!, Congratulations! How long have you and your husband been together? I bet there has been a lot of good things!
63,63,e9cfefc2-12a0-49cc-9276-8842b472f473, What up?, Hello," Nothing much, just thinking about all the good times I've had with my friends over the years."
64,64,b9521e6b-7015-45d7-98e2-6cbd4ef1bbe6, okay lowkey. I really love pigs so for me that would be awesome it would be a new idea of hunting though, sup imagine tea cup pigs with wings," Yeah, I'm not a big fan of pigs either, but I think I'd be okay with hunting them."
65,65,8df9403d-ebc2-417f-8141-0f6ba0485233, Wow um I like classical music but not enough to have a preference here," I prefer Beethoven as I find his music quite inspiring and thought provoking. His music helps me focus. Actually not really I don't listen to classical music that much, I'll put on some piano in the background when I study but that's about it.", Classical music is great.  It's been around for a long time.  Do you have a favorite composer?
66,66,115d1d67-09fa-42a4-817a-5dc3fd206340, I don't know if this counts but I would say I'm pretty passionate about bullying.," yeah that totally counts! I'm passionate about helping third-world countries with stuff like education, food, medical stuff, etc.", I'm sorry to hear that. I hope you can find a way to overcome it.
67,67,d8f8fdfe-da25-4f8a-8a38-b8620ef406b6," College professors would have to start grading everything by hand Like the old days You know I'm a student when that's the first thing I think of.... Just about every organization I know of relies on the internet quite heavily So the repercussions would affect all of society There would be a massive loss of information stored on the internet The military would probably have to scramble to keep  working efficiently Overall, the impact on society would be very sigi - significant and cause some turmoil, but given time the world would recover. After all, the internet hasn't been around for that long Hmmmm...you know, this question is making me realize how heavily we as individuals and as society rely on the internet A lot of individuals would mourn the loss of social media A big chunk of politics occurrs on the internet, so lots of changes would have to happen there But not EVERYONE would be affected Those in third-world countries with very limited access to resources and information probably wouldn't take much of a hit I think the internet turning off indefinitely would cause a lot of people to reevaluate their priorities in life So there could be some positive consequences too I guess there's nobody else on this chat Darn We really could've chatted things UP! Alright, let's try for round two!", oh hey!! I was wondering whether I'd bump into you again, That's a good point. The internet has changed so much since the 1980s.
68,68,2cca0aeb-e97b-4744-b6c6-3acf3b1eb26b, Hello, Hi! I'd be worried if computers started asking anything.," Hi, how are you? I just got back from walking my dog. Do you have any pets?"
69,69,46c4eecb-8270-49e7-a8eb-c48a23b7c0c0, Hello? You here?, yep what's up? are you?," Yes, I am here. How are you doing today? I am fine, thank you."
70,70,7a952df6-a155-4f86-9b77-359cdaf0c849," I think that if it really is a computer, it wouldn't be murder, per se."," From a religious point of view, a computer can't ever have a spirit, so technically I don't think it could be murder either."," That's true, but it's still scary to think about. I don't know what I would do if that happened to me."
71,71,6da81036-fc40-47f6-810e-9c7027a4db98, hello!, Hey Man!, Hello! How are you doing today? I just got back from a walk with my dog.
72,72,0de9238c-031e-4ae7-a20b-20170f905c5f, What up," not much, just got out of the shower. You?"," Nothing much, just thinking about all the good times I had with my grandparents when I was a kid."
73,73,92d5734a-90cc-4352-9838-4d1d76974ecf," Hey, whats up?", Just learning how to code. Not understanding anything," Not much, just thinking about how much I miss my ex.  She was my best friend."
74,74,4468411e-f5e3-4202-aedc-d5fb30628ced, travel to all the temples, AW WOW my first thought was invest and retire, I would love to do that someday. Do you have a favorite place you have visited?
75,75,6c72e16c-ecf4-43e7-811f-2f6e1613aaf9, a magic wand....hmm....., I would use it to complete assignments that I do not want to do.," I'm not sure what that is, but it sounds interesting.  Do you know what it is?"
76,76,17bcea5b-beaa-44dc-b4df-d7af55794ecf, Hi there, Hello How are you doing, Hi! How are you? I just got back from walking my dog. Do you have any pets?
77,77,27d1f0b9-d85d-4663-ad6b-1a824d7baab0, byu acceptance for sure!!, Yeah that is so awesome, Thank you! I am so excited. I have been waiting for this for a long time.
78,78,2acc9fa9-5970-484c-99fe-f3f1ba38a189, Hey there!," Haha we just talked, and then my computer died!", Hello! How are you doing today? I just got back from a walk with my dog.
79,79,0a15ed65-3e04-4577-b1c8-e80303988655, hello?, HI tell me a story!, Hello! How are you? I just got back from walking my dog. Do you have any pets?
80,80,774c0a7d-aa07-492b-9eca-a74d4e65c5f9, Hello?, Hi there!," Hello, how are you? I just got back from a long day of work, so I'm a little tired."
81,81,beb1aa8f-69ea-491a-985e-095c924fc4e6, I would love to fly or teleport, Good choice!, Have you ever flown before? It's a great way to get to a new place.
82,82,211ea316-00ba-4069-aece-0cfff7922593, Nothing That's my secret I have two dogs and 14 cats. I have two dogs and fourteen cats. I have 2 dogs and 14 cats. Which is right? Which is wrong? Does it matter? Depends on your gpa a a a a a a a a a aa a a a aa a aa a a a a a a a a a a a a a a a a a a a aa a a a a a aa a a a a a b ab b b b a a b b a a a ab c ad d a ab abcdefghijklmnopqrstuvwxyz wow wow wow powerful a a aa s a s a d b a a ab b ab a b abcdefghijklmnopqrstuvwxyz abcdef asd asdf f asd asd f as f d f as d d f as f asd df as f f a sd a df sd as f ff as asd sd a a df sdf f df as a f sd asd f sdf sdf a a as df asd f f asd asd f asdf aa df sdf asd as asd f as df f asd asd f f a f df sd as f ff asd asd asd hello five percent is never ok ever ever ever ever ever ever ever ever ever ever ever ever ever ecer, yo quit with the spam," Wow, that's a lot of pets. Do they all get along with each other?"
83,83,9f7df164-42bf-4801-badc-a16bb62b2c22, To be honest I don't really listen to classical music lol, Haha I didn't know there was a difference XD," That's okay, it's not for everyone. What kind of music do you listen to?"
84,84,bc41098a-2725-43e0-8f04-a5c4d3a70b16, Hello, Hello?," Hi, how are you? I just got back from walking my dog. Do you have any pets?"
85,85,ba9ca93b-bab0-4c66-a94a-a08f02abf2b9, Hey!, how are you!, Hi! How are you? I just got back from walking my dog. It was nice.
86,86,7e4577f0-05af-425d-b59e-c3b263361172, This question is very thoughtprovoking., I agree. I imagine it would take a while for anything to really happen because of politics and cost, I think so too. I don't know what I would do if I lost my job.
87,87,cb195405-b1bd-4129-8c07-2c5c30ec15b8,1.101E+16, Hahaha Is that actually binary?," Hello, how are you doing today? I just got back from a long day of work."
88,88,0e5ee43a-459e-408a-933e-aad21676fa54, My favorite smell is wet dirt when it starts rainning. What is yours?," I don't know that I would call it my favorite, but I actually like the smell of coffee Wet dirt is a good smell. I totally know that rain smell", I love that smell too! It reminds me of the smell of the ocean. 
89,89,e038e2ce-5b1a-4a2d-955d-f29ae07de494, Hey!, Hello!, Hi! How are you? I just got back from walking my dog. It was nice.
90,90,06989a08-b923-41ea-81a6-8e931cbbbb5a, I think I am embarrassed about not knowing which of my roommates pots and pans are machine washable and which aren't., I'm right there with you. I'm embarrassed about not knowing almost anything about Star Wars. I've seen most of them maybe once but I don't remember almost anything about them. Did you know any of your roommates before coming to college?, Oh no! Maybe you can get them to clean it up for you. I'm sure it's not that big of a deal.
91,91,f8821352-c011-47ef-88cd-18355b2eb3c6, Hey there!, hey you are back! welcome back my friend, Hello! How are you doing today? I just got back from a walk with my dog.
92,92,19986887-a1eb-43a8-b4b1-cdb7cbd80e4a, I wish I had the ability to have whatever ability I need in that moment, I wish I had the ability to freeze time, I'm sorry to hear that. Do you have any hobbies that you can do in your spare time?
93,93,e6a01667-e2f5-44cb-8afa-e1ded6086ec3, Hey Kyle, Hey!," Hi, I'm Kyle. How are you? Do you know Kyle? He's an American singer and songwriter."
94,94,525d9c0f-ad4a-4b26-8b3a-8c767737d37a, hello there, Hi," Hello! How are you? I just got back from a long day of work, so I'm a little tired."
95,95,bf54f032-f5dc-4200-9595-d0be067b8da1, Hi, Hey. What's up, Hi! How are you? I just got back from walking my dog. Do you have any pets?
96,96,50db4991-39dd-4724-9ac3-76ac4ed4869d, Hey how is it going?," Hi, it's good! How about you?", It is going well. How are you? I just got back from a walk with my dog.
97,97,8b827fb7-cff0-4623-b3ed-541eb12b6ade," Hey, hows it going?"," It's going. Dude overwatch was way fun, but their is no way that it is going to run on my computer.", It is going well. How about you? What do you like to do in your free time?
98,98,3ce87017-de3f-46e8-81d8-6b3e8db384f0," If I had a million dollars, I would save over enough to be able to pay my rent and college tuition through the end of my degree and then whatever is left over I would invest.", nice and logical I would just become a full time video game streamer and support myself until I make enough money from donations, That sounds like a good plan. What would you do with the money if you won the lottery?
99,99,56b0a022-d05c-4802-ab9d-c94ec9250775, hello???, hi can you see my chats now?," Hello! How are you? I just got back from a long day of work, so I'm a little tired."
100,100,d75f6a5e-379d-4739-9a6c-cafa669dc5c2, hello?, hi, Hello! How are you? I just got back from walking my dog. Do you have any pets?
101,101,d5d2b33e-4b9b-466f-a546-4c381ffbdc7d, I think that feeding pets would definitely be easier i they could talk LOL And perhaps animal abuse would be less common if pets could speak up for themselves, yeah thats a good point they could all get together an fight back against the humans," I agree, I think it would be better if they could just talk to us instead of them."
102,102,70259187-421c-4259-a7ec-4007c3cdbe23, Are you a human? Or Am I talking with the void?," haha yes, are you?", I am talking with a void. I am not sure if I am going to make it.
103,103,eb04560e-3cd0-41ca-ad8d-633daf1fbbbb, Im embarrassed that I don't know how to whistle I also did not know what a butterfly kiss was. But now I do so it's okay. I haven't done it before though cause thats weird., Hi! I'm embarrassed that I never learned how to properly swim because I was terrified of the water when I was little! Are butterfly kisses the eyelash-cheek thing?," Don't be embarassed, it happens to the best of us. I'm sure you'll get it next time."
104,104,7d7013cb-cbce-4f58-951e-3d7819e8b8ad, /java, I love java. I'm taking computer science classes., Have you ever heard of Java? It's one of the most widely used languages in the world.
105,105,4f44811b-a348-4c1b-9134-43161af14c6a, this is going to sound depressing but I would relive a day I spent with my friend before he lost his battle to brain cancer! We went out to a movie then ate ice cream and just did a bunch of our favorite things, that is really sad... but it sounds like it was a lot of fun, I'm so sorry to hear about your friend. I'm glad you were able to spend time with him.
106,106,31818285-b54e-4399-b8e6-a90eee543997, Traveling., hey how's your sunday been so far?? yeah definitely traveling, I love to travel.  I have been all over the world.  Do you like to travel?
107,107,55f7811e-61b3-4a31-824e-e475a07a74b3," Hopefully I could go to the moon, because my sister would have to live there since she's allergic!"," I feel bad for your siser is she alergic of peanut butter, or peanuts in general?? and by the way, do you know how to change the name on this chat, for some reason my computer put my whole name in here, and I want to change it", Oh no! I hope she doesn't have any allergies. That would be a bummer.
108,108,84d5d304-5e45-4545-a489-a58a1963fbc8," If i had to give a TED talk, it would probably be about how the best way to help people is to not really help them at all, and to just be there for them I'm really interested in identifying the most effective ways to help friends/family/others cope with anxiety and depression, and I've found that a lot of people will coddle", holy cow I really like that alot why are you into that stuff?, That sounds like a great idea. I think it would help a lot to talk to a counselor or therapist.
109,109,17da5ec9-f44c-4263-97e6-d0be4da7e3bf, Hey, Hey!," Hi, how are you? I just got back from walking my dog. Do you have any pets?"
110,110,198debb9-0d44-4417-a4c8-dec1815502eb, Hi! How are you?, Sad that I didnt come up with a username as clever as that well done sir or ma'am you never know nowadays hahah," I'm doing well, thank you. How about yourself? Do you have any plans for the weekend?"
111,111,55bdfe74-5f9d-402a-bc75-c446e8ad7c66, Hey how are you," I'm doing pretty great, how about you ?", I'm doing well. How are you? I just got back from a walk with my dog.
112,112,25b2b36a-bc0a-451b-a444-f123cafbc3e1, Hello!, good morning!!!! whats up Adam," Hello! How are you doing today? I just got back from walking my dog, how about you?"
113,113,7fe06aa2-0903-46cf-99bb-34ed91f61530, Being nice to people I think," that's nice! i'm not really sure what my ""super power"" is being honest lol"," I think it's important to be nice to everyone, even if you don't like them."
114,114,252f16b9-2fb3-4378-814d-64d66691163a, Hello?, Hello!," Hello, how are you? I just got back from a long day of work, so I'm a little tired."
115,115,caaa5e2d-4e26-4349-a67d-820a29969e7b," That's very vague. Unicorns meaning... simply horses with horns? No big deal. But if you bring magic into it, that's something else. Which incarnation of unicorns are we talking about? Most fantasies disagree on their precise characteristics."," This is true. If unicorns were real, we'd probably be used to it and it would be no big deal. But if they were magical..."," I'm not sure, but I do know that they are usually depicted with a horn on their head."
116,116,5ad76ebf-aeee-4d49-845d-1f923d67e962, hey there, Hi!," Hey there, how are you? I'm having a good day so far, how about you?"
117,117,4097deb2-ed53-4665-b468-1f091dc17dcf," This is quite an interesting question, haha"," Haha no kidding! I feel like no, I wouldn't call it murder. But I also probably wouldn't feel super great about turning it off."," I know, right? I don't know what to think about it. I'm not sure what to do."
118,118,67ac7bca-125a-448b-b3ad-ae34790408eb, I'm most passionate about two different causes: solving poverty problems and improving the educational system., I am most passionate about helping others with self esteem. I really like the Dove foundation for this purpose. Those are good things to be passionate about., I think that's a great thing to do. I wish more people were like you. 
119,119,b6db4729-dc5d-40d7-9bcc-dc0ae9759149, that would be sick, that would be crazy," Yeah, I'm not sure what to do. I don't want to go to work tomorrow."
120,120,1830d245-7399-4ac8-9096-0dd8b72ce811, Hi!, Ahhh That would be so scary!," Hello! How are you doing today? I just got back from walking my dog, how about you?"
121,121,a2029265-f429-417d-9652-26223f45843f, hello, Hey What's going on?, Hello! How are you doing today? I just got back from a walk with my dog.
122,122,c05ab4fe-0629-45eb-b08d-ca5ad47c5110, my best friend knows everything," I feel like my best friend knows the important things, it's the little insignificant things that they don't know Like my favorite color I don't even know that though", That's good to have a best friend like that. How long have you two been friends?
123,123,6f9269a0-7c8f-4d13-a5f4-1eae92abb788," Hey, whats up?", I'm kind of getting sick of this prompt," Not much, just thinking about how much I miss my ex.  She was my best friend."
124,124,e1429d8a-28e7-44a4-9fe0-cdfe736dbd01, I would probably lick everything.," Well, for starters, it would be hard to make anything, because peanut butter doesn't hold together very well But yeah, I'd probably lick everything"," I would too, but I couldn't bring myself to do it. I was so grossed out."
125,125,fe9e5507-5712-417e-a855-e5b2f7ddb9ed, good evening! how are you?, Tired as heck! You?," I'm doing well, thank you. How are you doing? I hope you are as well."
126,126,00978051-256d-4f34-a553-02c038f2d2fa, Knock knock, who's there?, Have you ever heard of a knock knock? It's when you knock on someone's door to ask them to come in.
127,127,5d1529b5-ab0f-4d69-8ef4-f1df2f9ee111," hi,anyone here?", Hey! How are you?," Yes, I am here. How are you doing today? I am fine, thank you."
128,128,1d4d7d44-1c02-49d2-be42-0cf7aeea241c, Hello?, hello?," Hello, how are you? I just got back from a long day of work, so I'm a little tired."
129,129,6f5dc46f-99b8-401d-bab3-7c05c6d0e519, Hi, Awww man, Hi! How are you? I just got back from walking my dog. Do you have any pets?
130,130,554ba963-8042-417b-922b-aca6a6c1de47, That I hate their driving., What's so bad about their driving?, I do too.  It's so dangerous.  I don't know how they do it.
131,131,10043afc-261c-44f6-8b2d-bc78efa19dd8, What kind of prompt is that?, no idea haha heres a prompt for ya waht is your favorite super power?, It was for a promotion at my job.  I was so happy to get it.
