,bot_out
30,"I'm not sure if this is what you're looking for, but I can tell you that there were a number of Viking groups that were conquered by Rollo. The most famous of these were the Ælfreds, who were known as the ""Vikings of the North"". They were a group of Norsemen who lived in the area of modern-day Denmark, Norway, and Sweden. They were known for raiding and pillaging in the region of modern day Norway, Denmark, Sweden, and Finland. They also raided and pillaged in England, Scotland, Ireland, and parts of the United Kingdom. In the early 9th century, King Charles the Simple made an agreement with the Viking warleader Rollo, a chieftain of either Norwegian or Danish origin. In return, Rollo swore fealty to Charles, converted to Christianity, and swore to defend the northern region of France against raids by other Viking groups. Rollo was given lands around Rouen in"
31,"I'm not sure if this is what you're looking for, but you might be interested in this previous answer by /u/commiespaceinvader."
32,"The Normans were a group of people who settled in northern France. The area they settled in was called Normandy. The name Normandy comes from the conquest and subsequent settlement of the area by the ""Northmen"" () also called Vikings."
33,"I'm not sure what you mean by ""replace with the Norse religion"". The Norse religion was the religion of the people who lived in what is now Northern Europe. It was practiced in Central and Northern Europe before Christianity came there. The religion was polytheistic, there were many gods. The main gods were Odin, Thor, and Njord. Odin was the leader of the Aesir and Thor was the ruler of the Vanir. The Vanir were the gods of war, magic, and prophecy. The Norse gods were not the only gods in the world. There were many other gods, but the main two were Odin and Thor. There was a war between the Norse gods and the Anglo-Saxons. The war ended with the death of the Norse god Odin and his children Freya and Freyr came to live in Asgard. Freyr became the god of war and Odin became the God of magic. Odin and Freya became the two main gods in Norse mythology"
34,"I'm not sure what you mean by ""maternal Old Norse traditions"", but I'll give it a shot. The Norse of Iceland and the English certainly shared a common ancestry in 6th century Denmark. They were both descended from a group of people called the Jutes, who lived in modern-day Germany. The Jutes were the descendants of a group called the Franks, who came to Scandinavia in the late 4th century. The Franks were a Germanic people who spoke a language similar to Old Norse, and they spoke a dialect of Old Norse called Old Frisian. This dialect was very similar to the language spoken in modern day Germany, but it was very different from the Old Norse dialect spoken in Scandinavia. The Frisians spoke a very different language from the Norse, but they spoke the same language as the Franks. They also spoke a different dialect of Proto-Indo-European, which is what we call Proto-Germanic today. They spoke a"
35,The Gallo-Romance languages are a branch of Romance languages. It includes French and several other languages spoken in modern France and Spain. It also includes Occitan and Catalan; others group these two together as a separate Occitano-Catalan branch.
36,"It depends on what you mean by ""major exports"". For example, the Normans imported a lot of grain from Scandinavia, which they exported to England and Scotland. The Normans also traded with the Anglo-Saxons, who traded a lot with the Franks."
37,"I'm not sure if this is what you're looking for, but I'll try to answer it. The Normans were Vikings who settled in northern France in the 8th and 9th centuries. They adopted the fuedel doctrines of the Normans."
38,"I'm not sure if this is what you're looking for, but I can tell you that the Normans imported a lot of things from England. The Normans were the first people to settle in England, and they brought with them a huge amount of goods from the Continent. They also brought a large amount of cloth, wool, and leather to North Germany, France, and England."
39,"I can't answer your question directly, but I can point you in the right direction. The Order of the Knights Templar was founded in the 11th century as a charitable organization. It was officially endorsed by the Roman Catholic Church around 1129, and became a favored charity by many Christians and grew fast in membership and power. By the 12th century, the Order was one of the most powerful and influential orders in Europe. The Knights Templar, like the Knights Hospitaller, had a large military presence in the Holy Land, and the Order of St. Bartholomew was the largest and most powerful of the orders. The Templars were also the most influential religious order in Europe at the time, as they were the only religious order that was recognized as a monastic order by the papacy. They were also very influential in the politics of the Holy Roman Empire, as well as in the administration of the Kingdom of Jerusalem. There were other crusades against Islamic forces in Southern"
40,"The Byzantines were the main enemy of the Normans in Italy, but they were not the only ones. The Lombards were also the main enemies of the Byzantine Empire, as well as the Sassanids."
41,"I'm not sure if this is what you're looking for, but you might be interested in this answer by /u/commiespaceinvader."
42,"The Normans didn't fight in Italy, they fought in France. The Normans were a Germanic people who settled in France in the 4th century BC. They settled in Normandy in the 3rd century BC, and they settled in Italy in the 2nd century AD."
43,"I'm not sure if this is what you're looking for, but I'll give it a shot. The Normans were not the first people to come to England. The Anglo-Saxons had been in England for a long time, and the Anglo-Norman people had been there for a very long time. The Norman conquest of England was the culmination of a long series of migrations that had been going on for hundreds of years. The first people who came to England were the Franks, who had been living in France for centuries. There they made a kingdom called Normandy. After the conquest the Normans, although few in number, controlled most of England. They often married English wives and brought their children into England."
44,"I can't speak for the Lombards, but I can tell you about the Venetians. The Venetian Empire was founded in the 11th century, and the first Lombards were born in the 10th century. The Lombards fought in the Lombard Wars of the 12th and 13th centuries, as well as the First Lombard War of the 14th. The first Lombard wars were fought against the Visigoths, who invaded Italy in 1066. The second Lombard war was fought with the Habsburgs, who conquered Italy in 1453."
45,"I'm not sure if this is what you're looking for, but Heraclius was a general in the Byzantine army during the Third Persian-Turkic War. In 627, he defeated the Persian forces at the battle of Nineveh."
46,"I'm not sure if this is what you're looking for, but I can tell you that Robert Crispin did not go up against the Turks. He was a member of the British Expeditionary Force during the Seven Years' War (1783-1788) and was a major general in the British army during the War of the Austrian Succession (1788-1799). In 1789, he led a group of Russian soldiers to Khadjibey and Yeni Dünya for the Russian Empire. In 1792, he took part in the Siege of Jassy (1789-1792), which was a Russian victory over the Ottoman Empire in the Russo-Turkish War (1828-1829)."
47,"Roussel de Bailleul's plans for an independent state were doomed by the French Revolution. The French Revolution was the culmination of a long series of events that had begun in 1789 and ended in 1792. In 1789, King Louis XVI of France declared himself the King of France. This was a huge shock to the French people, who had been used to the idea of the King being the head of the state. However, this was not the end of the Revolution in France. The National Assembly started to carry out some dramatic changes to France. They passed the Declaration of the Rights of Man and ended the laws that allowed the nobles to be treated better than ordinary people. They also passed a new constitution, the Constitution of 1792, which ended the monarchy and replaced it with a constitutional monarchy. This new constitution was very unpopular with the people of France, who wanted to keep the monarchy in place. This led to the Revolution of 1789."
48,"I can't speak for the Normans, but I can speak for Byzantium. The Byzantines had a long tradition of mercenary service, dating back to at least the 8th century. The Byzantine Empire was founded in the 7th century, and was founded by Emperor Alexios I Komnenos. Alexios was the son of Alexios the Great, and his father, Alexios II Komnenos, was a Byzantine nobleman who had served in the Byzantine army in the 9th and 10th centuries. In the 10th century Alexios became the Emperor of the Byzantine Empire, and in the 11th and 12th centuries he became the ruler of the Empire of the Rus. The Rus were a group of Slavic peoples who settled in Kiev and formed the first Russian state. They became the personal bodyguards to the Emperor and were called Varangians. At first they were made up of Vikings or Rus. Later, after the Norman conquest of England, Anglo"
49,"I'm not sure if this is what you're looking for, but Herve was not a Norman general. He was a Saxon general."
50,Konstantin Komnenos was not a fan of the idea of an independent state. He thought that it would lead to tyranny. He was also against the concept of a world state as he thought that the world would be ruled by a single country. He also thought that a single nation would be a threat to the stability of the world.
51,Heraclius was the first Byzantine emperor to go up against the Turks. He defeated the Persians at the Battle of Nineveh in 627.
52,"I'm not sure if this is what you're looking for, but you might be interested in this answer by /u/commiespaceinvader."
53,"The Franks were not the first people to cross the Euphrates, but they were the first to cross it. The Franks were a Germanic people who had moved their homes over the Rhine into the Roman Empire as it was falling apart. The Roman Empire had been in decline since the fall of the Western Roman Empire in the 4th century, and the Frankish invasion was the culmination of a long series of conquests that had been going on for centuries."
54,"I'm not sure if this is what you're looking for, but I can give you a brief overview of the Normans' relationship with the Seljuk Turks in the early 12th century. The first thing to understand about the Seljuks is that they were not a monolithic entity. They were a confederation of various ethnic groups, and they had a long history of conflict with the Byzantines. The most famous example of this conflict was the Battle of Manzikert, which was fought in the 11th century, and was the culmination of a long series of conflicts between the two empires. The Seljuqs had been fighting against the Byzantine Empire for a long time, and it was only in the 10th century that they finally managed to take control of the whole of Anatolia. However, the Ottomans were not the only power in the region at the time. There were also a number of other Muslim states in Anatolia, such as the Kingdom of"
55,"I can't answer your question directly, but I can give you some background on the Armenian Genocide. The Armenian Genocide was a series of massacres carried out by the Ottoman government in response to the Armenian revolt against the Ottoman Empire in the late 18th century. In 1894 the villagers refused to pay taxes unless the Ottoman authorities protected them against more Kurdish attacks and extortions. This resulted in demands that Ottoman Turkey initiate reforms in the six ""Armenian vilayets"". The Ottoman government responded by rounding up Armenians and rounding them up. The Armenians were rounded up and sent to the Gulag, where they were tortured and killed. This was followed by the deportation of the Armenians from the city of Yerevan, which was the capital of Armenia at the time. In the aftermath of the deportation, the Armenian population was forcibly relocated to other parts of the country. In 1915, the genocide was carried out again, this time by the Armenian government. This time, the"
56,"I'm not sure if this is what you're looking for, but I'll give it a shot. The Seljuk Empire took all of Turkey from the Byzantines by 1091. At the same time, the Byzantine Empire was in the midst of a civil war with the Ottomans, and the Ottoman Empire was trying to establish itself as the legitimate successor state to the Byzantine empire. The Ottoman Empire had a long history of military service, but it wasn't until the mid-12th century that it really took off. In the early 12th century, there was a series of revolts and rebellions against the Ottoman government. The most famous of these revolts was the Seljuks Revolt, which took place in the late 12th and early 13th centuries. During this time, there were a number of rebellions and revolts against Ottoman rule. One of the most famous revolts took place during the reign of Mehmed the Conqueror. Mehmed"
57,"I don't know if this is what you're looking for, but you might be interested in this answer by /u/commiespaceinvader."
58,The Franks were a Germanic people who had moved over the Rhine into the Roman Empire as it was falling apart
59,"I can't speak to the origins of the Raoulii family, but I can speak to their relationship with the House of Habsburgs. The House of Hohenzollern was one of the most powerful noble families in the Holy Roman Empire. They held the fief of Lavagna under the Emperor Otto I, and were a major player in the wars against the Ottomans. They also held the title of Duke of Burgundy, which was a title given to them by Otto I in return for their loyalty to the Emperor. The family was very influential in Papal politics, and they had a lot of influence over the Papacy."
60,"I can't answer your question directly, but I can point you in the right direction. The Normans came to England at the time of the Norman Conquest in 1066. There were a number of mercenary families in England prior to the Conquest. The most famous of these was the Dukes of Normandy, who were a branch of the Duchy of Normandy. The Duke of Normandy was a member of the House of Habsburg, which was the ruling house of France. The Dukes were also members of the Hapsburg family, which were the ruling family of Burgundy. The House of Dauphin, who was the son of the King of France, was one of the most powerful noble families in France. After the conquest the Normans, although few in number, controlled most of England. They often married English wives and their children became Anglo-Norman."
61,"I'm not sure if this is what you're looking for, but I'll give it a shot. The Normans were Vikings who settled in northern France in the 9th and 10th centuries. They settled in England in the 8th and 9th centuries, and settled in Normandy in the 10th century. In 1066 the Normans attacked England and took over. They ruled England for about 300 years."
62,"George Maniaces was a Byzantine general in the 10th century. He is mentioned by the Byzantine historian Zosimus and also in the ""Historia Augusta"", a collection of biographies of Byzantine emperors and emperors. He was a member of the Byzantine army at the Battle of Manzikert in 1098. The battle was won by the Byzantines."
63,"The Count of Apulia was a title given to him by the Papacy in the 11th century. The Papacy gave him the title because he was a member of the House of Savoy, which was the ruling family of Italy at the time. He was the son of the Count of Benevento and his wife, who was the daughter of the Duke of Parma. The papacy also granted the title to him as a reward for his service during the Second Punic War. It is not known what his first name was, although writers in the Middle Ages often called him Lucius."
64,Dyrrachium was conquered by the Normans in 1066 after the Battle of Hastings. It had been under the control of the Anglo-Saxons since the reign of Alfred the Great.
65,"Robert's army at the Battle of Bannockburn numbered between 5,000 and 6,000 men, depending on who you ask. Edward's army was estimated to have numbered around 10,000."
66,"I'm not sure if this is what you're looking for, but I'll give it a shot. The Byzantines were driven out of Europe by the Arabs in 718 AD. The Arabs had been fighting against the Byzantine Empire for a long time, and they were able to defeat the Byzantine army at the Battle of Manzikert in 717. This was a major victory for the Arabs, as it allowed them to take control of a large portion of the Mediterranean. However, this was not the end of the story. In 718, the Arabs were defeated outside Constantinople, ending the Byzantine threat in the east and leaving the Empire severely weakened. In the west, the Ottomans had taken control of most of Italy and Sicily in the late 7th and early 8th centuries, and had been able to take over much of the Balkans and the Balkans in the 8th and 9th centuries. The Ottoman Empire had been in decline since the 9th century, and the"
67,"I'm not sure if this is what you're looking for, but Pope John Paul II was a supporter of John Adams."
68,"I'm not sure if this is what you're looking for, but you might be interested in this previous answer by /u/commiespaceinvader."
69,"I'm not sure if this is what you're looking for, but I can give you a rough estimate of the size of Roberts army at the time of the Battle of Guadalcanal. Roberts' army had a total strength of 5,000 men, but only half of these were infantry and all of them were light infantry. The other half were light cavalry, artillery, and cavalry. In total there were 417 casualties (persons killed or wounded)."
70,"The Normans and Byzantines did not sign the peace treaty in Constantinople. The treaty was signed in Toulouse, France, on April 12, 1229."
71,Robert was the second son of Richard II of Normandy and Judith.
72,"Petrela was a town in the province of Gallia Cisalpina, which was the border between the Roman province Gallia Francia and Italy. It was located at the mouth of the river Rubicone, which flows into the Adriatic Sea. The exact river Caesar referred to is unknown; the river that is known as Rubicone today was named after Benito Mussolini."
73,"I'm not sure if this counts as a siege, but the Normans did besiege the city of London in the 11th century. In 1066, William the Conqueror invaded England and took control of the city. The Normans built the Tower of London, Windsor Castle and many other stone castles."
74,"Robert Guiscard was the duke of Apulia and Calabria at the time of the Battle of Dyrrachium. He was the son of Robert I, Duke of Normandy, and his wife Matilda, Countess of Aquitaine. His father, William II, was the king of England, and Robert was his son-in-law. William had been deposed by his brother, Henry, in 1081, and was replaced by his younger brother, William III. William and Robert had been at war with each other for a long time, and had been fighting each other since 1057. When William II died on 2 August 1100, Robert was on his return journey from the Crusade and was about to marry a wealthy young bride to raise funds to buy back his duchy. When he heard that his father had died, he decided to return to England and marry Matilda again. However, when he arrived in England, he found that William had"
75,"Boothond was the son of Oropher, who was king of the Elves of Mirkwood during the Third Age. He fought under the command of his father in the Last Alliance, but when he was killed, Thranduil became king."
76,The Normans did not attack Dyrrachium until 1066. The Norman conquest of England was a military invasion of England by William the Conqueror in 1066 at the Battle of Hastings. The battle was called The Battle Of Hastings.
77,"I'm not sure if this is what you're looking for, but I'll give it a shot. In the early days of the U.S. Navy, it was called ""Naval Station Norfolk"" or ""Navy Station Norfolk"". It was the main naval base for the Atlantic Fleet. It began in 1849. It was named after St. Julien's Creek Annex, which is on the Elizabeth River. It is currently part of Naval Base Norfolk."
78,"Dyrrachium was located in the province of Pannonia, in modern-day Turkey. It was in the southern part of Shiribeshi Subprefecture, on the border of Turkey and Syria."
79,"Dyrrachium was attacked by the Visigoths in the 11th century. The Visigoths were a Germanic people who had been living in the area since the 9th century, and they had a long history of raiding and pillaging the area. In the 1020s, they invaded the area and sacked the city. The city was rebuilt by the Normans in the 1030s."
80,"I'm not sure if this is what you're looking for, but you might be interested in this answer by /u/commiespaceinvader."
81,"I'm not sure if this is what you're looking for, but I can give you an example of a naval base that fell to the Normans. The Battle of Hastings took place in 1066. The battle was fought in the Bay of Biscay, off the coast of France. The Normans had been besieging the city for a long time, and the city had been a major naval base for them for centuries. The city of Hastings was one of the most important naval bases in the world, and it was the largest naval base in Europe at the time. It was eventually taken by the Norman allies of Guaimar IV."
82,"Charles Darwin's first wife was Emma of Normandy, who was also called Ælfgifu in Old English. They married on January 29, 1839."
83,"Emma was the daughter of George Victor, King of Waldeck and Pyrmont, and her mother was Helena, Princess of Nassau-Weilburg. This means that Emma was related to the House of Orange-Nassau through two family connections."
84,"Ethelred's mother, Etheldreda, was the daughter of King Alfred the Great and Queen Ethelreda of Wessex. She was married to King Edward the Confessor, who was the son of King Æthelred I of England and Queen Æthelfred of Mercia. The marriage was dissolved before the end of 672. When Edward died in 674, his son, Ethelric, became King of Northumbria, and his mother became Queen of England. In 675, the King of England died, and Ethelbert was the heir to his father's throne. When he died, his mother, Queen Ethethelred, was left in charge of the kingdom. She and Bishop Wilfrid became bitter enemies, and in 676, the Bishop sent a letter to the King, saying that he was going to marry Ethelreda's daughter, and that she would be his heir. The King of"
85,"Ethelred the Unready was King of England twice. The first time was from 978 to 1013, and the second time was 1014 to 1016. He was the son of Edgar, and Aelfthryth, the daughter of Edward the Confessor. The second time he was King was from 1016 to 1018, when he was deposed by William the Conqueror."
86,"Cnut the Great's first wife was Catherine of Aragon, daughter of King Louis XIV of France. Catherine was the daughter of Louis XIV's second wife, Catherine de' Medici. Catherine and Cnut were married on 14 July 1709. The couple were very happy and had 12 children. They had no children."
87,"Richard II did not flee to Normandy. He did flee to England, but he did not set sail for Normandy with a large number of armed men. He was captured by the Austrian Duke, Leopold I. The English people had to pay a huge ransom to set him free."
88,"I'm not sure if this is what you're looking for, but I can give you an example of a port that was controlled by the English. During the reign of Edward I, the English controlled the port of Portsmouth, which was a major port for trade between England and the rest of the world. The port was also used as a base of operations for the English army, and was used by Edward to supply his troops as they engaged their northern foes"
89,"Edward the Confessor's half-brother was Harthacnut, who was the son of Harold Godwinson, King of Wessex, and his wife, Eleanor of Aquitaine. Edward's father, Edward I, married Eleanor, the daughter of King Alfonso X of Castile, and their son, Edward II, became King of England."
90,"Edward returned to England in 1041. He was crowned king at the coronation of his half-brother Harthacnut on 19 August 1041, and was crowned King of England on 2 August 1042. The coronation took place on the same day as the death of Edward's father, William the Conqueror, at the Battle of Bosworth Field. Edward was proclaimed king at his father's death, rather than at his own coronation, as had until then been customary."
91,"The Archbishop of Canterbury is the head of the Anglican Church in England. Edward the Confessor was the first Bishop of Canterbury, but he was not the first person to be made Archbishop. The office of Archbishop was founded in the year 597. In that year, Saint Augustine came to England, to preach Christianity to the local people. The people accepted him and Christianity when their King (Ethelbert of Kent) became a Christian. Augustine became the first bishop in the kingdom of Kent and was later recognised as archbishop when a second diocese was created in Kent in 734. The current Archbishop is Justin Welby (from 2013)."
92,Edward was exiled from England by Edward the Confessor around 1060 - when he was around 14 or 18 years old. He spent most of his life in exile following the defeat and death of his father by Canute.
93,"Harthacnut was a mathematician, not a physicist. He didn't come up with a theory of gravity, he came up with an equation for the force of attraction between two objects. He used it to calculate the force needed to keep the moon moving around the Earth."
94,"Robert of Jumieges was the son of Robert I, Duke of Normandy and Eleanor of Aquitaine. He was born in Normandy, and his father was the Archbishop of Rouen and Count of Évreux. Robert was an advisor to five dukes of Normandy. In 1063, his father made him the count of Maine when he was contracted to marry Margaret of Normandy, the daughter of William the Conqueror. The marriage was consummated in 1069, and Robert became the Earl of Hereford."
95,"Harold II died at the Battle of Hastings on 17 March 1040, just as Harthacanute was preparing an invasion force of Danes, and was buried at the abbey of Westminster."
96,Harold Godwinson was King Harold II of England (c. 1022 – 14 October 1066). He ruled from 5 January 1066 until he was killed at the Battle of Hastings in 1066. His death marked the Norman conquest of England and the end of Anglo-Saxon England.
97,"The Battle of Hastings was a pitched battle between the Anglo-Saxon English and an invading Norman army. The day-long battle ended in the death of the English King Harold Godwinson and a decisive victory for the Normans. William, the Duke of Normandy, was crowned as King William I of England 10 weeks later."
98,"I can't speak to the Normans, but I can talk about the Anglo-Saxons, who were the ruling class in England for a long time before the Norman conquest. There were a number of different groups of people living in England at the time of the Norman Conquest. The first group of people to come to England were the Franks, who settled in England in the 9th and 10th centuries. The Franks were a Germanic people who came from Scandinavia. They were the first people to settle in England. The Normans came to England in 1066. After the conquest, although few of them controlled most of England, they did have a significant amount of power. The Norman dukes were:"
99,"Harold II conquered England in 1037. He was the son of Edward the Confessor, who ruled England from 1022 to 1066. He ruled from 5 January 1066 until he was killed at the Battle of Hastings in 1066, when William the Conqueror took over the throne."
100,"I can't answer your question, but I can give you an example of a battle that took place in the 10th century. The Battle of the Pyrenees was fought between the Normans and the Visigoths. The Normans were led by the King of France, Louis the Pious. The Visigothic army was led by Theodoric I, who was the son of the Holy Roman Emperor, Justinian I. The battle took place between the two armies."
101,The Anglo-Saxons were the ruling class of England after the Norman Conquest in 1066. The Anglo-Norman language is the language spoken by the descendants of the Normans who ruled the Kingdom of England following the conquest by William the Conqueror.
102,"I'm not sure if this is what you're looking for, but I'll give it a shot. I'm not a historian, so I can't answer your question directly, but if you're interested in this topic, I'd be happy to help you out."
103,"I can't speak to the final form of Old English, but I can tell you that Old English was not a single language. It was a collection of dialects, all of which were mutually intelligible with each other. There were four main dialects: West Saxon, Mercian, Northumbrian and Kentish. All of these dialects were spoken by the Anglo-Saxons, who were the dominant people living in England from the mid-5th century AD until the Norman conquest in 1066. These dialects evolved into Middle English from about the 11th century."
104,"The Hundred Years War was fought between France and England during the late Middle Ages. The war started because Charles IV of France died in 1328 without an immediate male heir (i.e., a son or younger brother). Edward III of England then believed he had the right to become the new king of France through his mother, Catherine of Aragon, who was married to Charles IV's son, Charles V of France. Charles V was the son of Charles V, and Catherine was the daughter of Philip II of France, who had married Charles V's younger brother, Charles the Bald. When Charles V died, Catherine became the new queen of France and Charles V became king of England."
105,"The Anglo-Norman language is the name given to the special sort of the Norman language spoken by the descendants of the Normans who ruled the Kingdom of England following the conquest by William of Normandy in 1066. The Normans spoke a language called *Oïl*, which was a dialect of Old French, which was the language spoken in France at the time. When William the Conqueror took over England, he brought his nobles, who spoke Norman, with him. The Norman language became the official language of England, and was the lingua franca of the English people for the next 300 years. Over the course of this time, a lot of words were absorbed into the English language. For example, the word for ""dog"" was borrowed from Old English, and the word ""doggy"" became Old English. Other words were borrowed from the French language, such as ""dog"", ""dog,"" and ""dog"". Some words were also borrowed from Germanic languages, such"
